SourceName,PrimAcc,genotype,subtype,reference_status
ncbi-refseqs,JX227970,4,n,confirmed
ncbi-refseqs,FJ462440,4,o,confirmed
ncbi-refseqs,JX227977,4,o,confirmed
ncbi-refseqs,FJ462431,4,p,confirmed
ncbi-refseqs,FJ462434,4,q,confirmed
ncbi-refseqs,FJ462439,4,r,confirmed
ncbi-refseqs,JF735136,4,s,confirmed
ncbi-refseqs,JX227976,4,r,confirmed
ncbi-refseqs,FJ839869,4,t,confirmed
ncbi-refseqs,HQ537009,4,v,confirmed
ncbi-refseqs,JX227959,4,v,confirmed
ncbi-refseqs,HQ537008,4,v,confirmed
ncbi-refseqs,JX227960,4,v,confirmed
ncbi-refseqs,FJ025855,4,w,confirmed
ncbi-refseqs,FJ025856,4,w,confirmed
ncbi-refseqs,AF064490,5,a,confirmed
ncbi-refseqs,NC_009826,5,a,confirmed
ncbi-refseqs,Y12083,6,a,confirmed
ncbi-refseqs,AY859526,6,a,confirmed
ncbi-refseqs,HQ639936,6,a,confirmed
ncbi-refseqs,EU246930,6,a,confirmed
ncbi-refseqs,NC_009827,6,b,confirmed
ncbi-refseqs,EF424629,6,c,confirmed
ncbi-refseqs,D84263,6,d,confirmed
ncbi-refseqs,DQ314805,6,e,confirmed
ncbi-refseqs,EU246932,6,e,confirmed
ncbi-refseqs,EU246931,6,e,confirmed
ncbi-refseqs,DQ835760,6,f,confirmed
ncbi-refseqs,EU246936,6,f,confirmed
ncbi-refseqs,D63822,6,g,confirmed
ncbi-refseqs,DQ314806,6,g,confirmed
ncbi-refseqs,D84265,6,h,confirmed
ncbi-refseqs,DQ835770,6,i,confirmed
ncbi-refseqs,DQ835762,6,i,confirmed
ncbi-refseqs,DQ835769,6,j,confirmed
ncbi-refseqs,DQ835761,6,j,confirmed
ncbi-refseqs,D84264,6,k,confirmed
ncbi-refseqs,EF424628,6,l,confirmed
ncbi-refseqs,JX183556,6,l,confirmed
ncbi-refseqs,DQ835767,6,m,confirmed
ncbi-refseqs,DQ835766,6,m,confirmed
ncbi-refseqs,DQ278894,6,n,confirmed
ncbi-refseqs,DQ835768,6,n,confirmed
ncbi-refseqs,EU246938,6,n,confirmed
ncbi-refseqs,EF424627,6,o,confirmed
ncbi-refseqs,EU246934,6,o,confirmed
ncbi-refseqs,EF424626,6,p,confirmed
ncbi-refseqs,EF424625,6,q,confirmed
ncbi-refseqs,EU408328,6,r,confirmed
ncbi-refseqs,EU408329,6,s,confirmed
ncbi-refseqs,EF632071,6,t,confirmed
ncbi-refseqs,EU246939,6,t,confirmed
ncbi-refseqs,EU246940,6,u,confirmed
ncbi-refseqs,EU158186,6,v,confirmed
ncbi-refseqs,EU798760,6,v,confirmed
ncbi-refseqs,EU798761,6,v,confirmed
ncbi-refseqs,DQ278892,6,w,confirmed
ncbi-refseqs,EU643834,6,w,confirmed
ncbi-refseqs,EU643836,6,w,confirmed
ncbi-refseqs,EU408330,6,xa,confirmed
ncbi-refseqs,EU408332,6,xa,confirmed
ncbi-refseqs,EU408331,6,xa,confirmed
ncbi-refseqs,JX183552,6,xb,confirmed
ncbi-refseqs,KJ567645,6,xb,confirmed
ncbi-refseqs,KJ567651,6,xc,confirmed
ncbi-refseqs,KM252789,6,xd,confirmed
ncbi-refseqs,KM252790,6,xd,confirmed
ncbi-refseqs,KM252791,6,xd,confirmed
ncbi-refseqs,JX183557,6,xe,confirmed
ncbi-refseqs,KM252792,6,xe,confirmed
ncbi-refseqs,NC_030791,7,a,confirmed
ncbi-refseqs,AJ851228,1,-,unassigned
ncbi-refseqs,KC248195,1,-,unassigned
ncbi-refseqs,HQ537007,1,-,unassigned
ncbi-refseqs,KJ439780,1,-,unassigned
ncbi-refseqs,KJ439779,1,-,unassigned
ncbi-refseqs,KJ439776,1,-,unassigned
ncbi-refseqs,KJ439777,1,-,unassigned
ncbi-refseqs,JF735119,2,-,unassigned
ncbi-refseqs,JF735110,2,-,unassigned
ncbi-refseqs,JF735117,2,-,unassigned
ncbi-refseqs,JF735116,2,-,unassigned
ncbi-refseqs,JF735118,2,-,unassigned
ncbi-refseqs,KC197236,2,-,unassigned
ncbi-refseqs,KC197237,2,-,unassigned
ncbi-refseqs,KC197239,2,-,unassigned
ncbi-refseqs,JF735124,3,-,unassigned
ncbi-refseqs,JX227964,4,-,unassigned
ncbi-refseqs,FJ025854,4,-,unassigned
ncbi-refseqs,JF735127,4,-,unassigned
ncbi-refseqs,JF735132,4,-,unassigned
ncbi-refseqs,JF735131,4,-,unassigned
ncbi-refseqs,JF735130,4,-,unassigned
ncbi-refseqs,JF735129,4,-,unassigned
ncbi-refseqs,JF735138,4,-,unassigned
ncbi-refseqs,JF735135,4,-,unassigned
ncbi-refseqs,JF735134,4,-,unassigned
ncbi-refseqs,DQ278891,6,-,unassigned
ncbi-refseqs,DQ278893,6,-,unassigned
ncbi-refseqs,JX183550,6,-,unassigned
ncbi-refseqs,JX183549,6,-,unassigned
ncbi-refseqs,JX183551,6,-,unassigned
ncbi-refseqs,JX183553,6,-,unassigned
ncbi-refseqs,JX183554,6,-,unassigned
ncbi-refseqs,JX183558,6,-,unassigned
ncbi-refseqs,KJ470620,6,-,unassigned
ncbi-refseqs,KJ470621,6,-,unassigned
ncbi-refseqs,KJ470622,6,-,unassigned
ncbi-refseqs,KJ470623,6,-,unassigned
ncbi-refseqs,KJ470624,6,-,unassigned
ncbi-refseqs,KJ470625,6,-,unassigned
ncbi-refseqs,KC844039,6,-,unassigned
ncbi-refseqs,KC844040,6,-,unassigned
ncbi-refseqs-subgenomic,L38350,1,f,provisional
ncbi-refseqs-subgenomic,L38371,1,f,provisional
ncbi-refseqs-subgenomic,X93323,2,g,provisional
ncbi-refseqs-subgenomic,X93327,2,h,provisional
ncbi-refseqs-subgenomic,L39309,2,n,provisional
ncbi-refseqs-subgenomic,L44602,2,n,provisional
ncbi-refseqs-subgenomic,L38333,2,o,provisional
ncbi-refseqs-subgenomic,L38373,2,o,provisional
ncbi-refseqs-subgenomic,L39300,2,p,provisional
ncbi-refseqs-subgenomic,L44601,2,p,provisional
ncbi-refseqs-subgenomic,JQ924942,2,s,provisional
ncbi-refseqs-subgenomic,HM777447,2,s,provisional
ncbi-refseqs-subgenomic,HM777332,2,s,provisional
ncbi-refseqs-subgenomic,D16612,3,c,provisional
ncbi-refseqs-subgenomic,D14198,3,c,provisional
ncbi-refseqs-subgenomic,D16613,3,c,provisional
ncbi-refseqs-subgenomic,D16614,3,f,provisional
ncbi-refseqs-subgenomic,D14203,3,f,provisional
ncbi-refseqs-subgenomic,D16615,3,f,provisional
ncbi-refseqs-subgenomic,L78842,3,f,provisional
ncbi-refseqs-subgenomic,L29629,4,e,provisional
ncbi-refseqs-subgenomic,L29589,4,e,provisional
ncbi-refseqs-subgenomic,L29590,4,e,provisional
ncbi-refseqs-subgenomic,L29626,4,e,provisional
ncbi-refseqs-subgenomic,L29610,4,h,provisional
ncbi-refseqs-subgenomic,L29611,4,h,provisional
ncbi-refseqs-subgenomic,AJ291249,4,h,provisional
ncbi-refseqs-subgenomic,L36439,4,i,provisional
ncbi-refseqs-subgenomic,L36437,4,i,provisional
ncbi-refseqs-subgenomic,L36438,4,j,provisional
ncbi-refseqs,AY587845,RF2k_1b,-,recombinant
ncbi-refseqs,DQ155560,RF2i_6p,-,recombinant
ncbi-refseqs,DQ364460,RF2b_1b_1,-,recombinant
ncbi-refseqs,AM408911,RF2_5,-,recombinant
ncbi-refseqs,EU643835,RF2b_6w,-,recombinant
ncbi-refseqs,AB622121,RF2b_1b_2,-,recombinant
ncbi-refseqs,JF779679,RF2b_1a,-,recombinant
ncbi-refseqs,AB677530,RF2b_1b_3,-,recombinant
ncbi-refseqs,AB677527,RF2b_1b_4,-,recombinant
ncbi-refseqs,JQ434008,-,-,outgroup



