Strain Name	Virus Type	Subtype/Genotype (ViPR)	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	
4004	Hepatitis C virus	1b	EF407498	9358	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
4014	Hepatitis C virus	1b	EF407469	9386	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
4020	Hepatitis C virus	1b	EF407486	9366	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
4025	Hepatitis C virus	1a	EF407456	9419	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
4034	Hepatitis C virus	1b	EF407472	9388	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
4035	Hepatitis C virus	1a	EF407453	9367	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
4035_FU24	Hepatitis C virus	1a	EU362884	9376	-N/A-	Unknown	-N/A-	USA	genomic RNA	
4036	Hepatitis C virus	1b	EF407479	9389	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
4040	Hepatitis C virus	1a	EF407417	9383	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
4043	Hepatitis C virus	1b	EF407483	9402	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
4064	Hepatitis C virus	1b	EF407470	9397	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
5002	Hepatitis C virus	1b	EF407497	9391	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
5003	Hepatitis C virus	1a	EF407419	9387	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
5004	Hepatitis C virus	1b	EF407461	9422	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
5009	Hepatitis C virus	1a	EF407445	9358	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
5012	Hepatitis C virus	1a	EF407413	9371	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
5014	Hepatitis C virus	1a	EF407435	9342	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
5014_FU24	Hepatitis C virus	1a	EU362886	9362	-N/A-	Unknown	-N/A-	USA	genomic RNA	
5043	Hepatitis C virus	1a	EF407411	9326	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
5044	Hepatitis C virus	1b	EF407471	9384	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
5049	Hepatitis C virus	1b	EF407463	9385	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
5061	Hepatitis C virus	1b	EF407484	9239	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
5083	Hepatitis C virus	1b	EF407503	9390	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
535318	Hepatitis C virus	6o	EU408327	9445	-N/A-	Unknown	-N/A-	USA	genomic RNA	
537798	Hepatitis C virus	6e	EU408326	9469	-N/A-	Unknown	-N/A-	USA	genomic RNA	
6001	Hepatitis C virus	1a	EF407422	9333	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
6017	Hepatitis C virus	1b	EF407465	9387	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
6020	Hepatitis C virus	1a	EF407450	9332	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
6020_FU24	Hepatitis C virus	1a	EU362887	9354	-N/A-	Unknown	-N/A-	USA	genomic RNA	
6025	Hepatitis C virus	1a	EF407427	9378	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
6030	Hepatitis C virus	1a	EF407444	9338	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
6031	Hepatitis C virus	1a	EF407454	9359	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
6047	Hepatitis C virus	1b	EF407462	9387	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
6053	Hepatitis C virus	1b	EF407482	9329	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
6057	Hepatitis C virus	1b	EF407487	9388	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
6071	Hepatitis C virus	1a	EF407425	9365	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
6_TV443	Hepatitis C virus	-N/A-	KJ567649	9471	-N/A-	Human	Homo sapiens	Viet Nam	genomic RNA	
6_TV453	Hepatitis C virus	-N/A-	KJ567648	9485	-N/A-	Human	Homo sapiens	Viet Nam	genomic RNA	
6_TV469	Hepatitis C virus	-N/A-	KJ567646	9428	-N/A-	Human	Homo sapiens	Viet Nam	genomic RNA	
6_TV520	Hepatitis C virus	-N/A-	KJ567651	9442	-N/A-	Human	Homo sapiens	Viet Nam	genomic RNA	
6_TV548	Hepatitis C virus	-N/A-	KJ567650	9469	-N/A-	Human	Homo sapiens	Viet Nam	genomic RNA	
6_TV566	Hepatitis C virus	-N/A-	KJ567652	9434	-N/A-	Human	Homo sapiens	Viet Nam	genomic RNA	
6_VN110	Hepatitis C virus	-N/A-	KJ567645	9401	-N/A-	Human	Homo sapiens	Viet Nam	genomic RNA	
6_VN139	Hepatitis C virus	-N/A-	KJ567644	9397	-N/A-	Human	Homo sapiens	Viet Nam	genomic RNA	
6_VN214	Hepatitis C virus	-N/A-	KJ567647	9421	-N/A-	Human	Homo sapiens	Viet Nam	genomic RNA	
7002	Hepatitis C virus	1a	EF407440	9378	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7002q	Hepatitis C virus	1a	EU362907	9166	-N/A-	Unknown	-N/A-	USA	genomic RNA	
7004	Hepatitis C virus	1b	EF407490	9373	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7005	Hepatitis C virus	1b	EF407499	9326	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7012	Hepatitis C virus	1a	EF407438	9369	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7012_FU24	Hepatitis C virus	1a	EU362892	9401	-N/A-	Unknown	-N/A-	USA	genomic RNA	
7018	Hepatitis C virus	1a	EF407414	9330	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7020	Hepatitis C virus	1a	EF407418	9359	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7024	Hepatitis C virus	1a	EF407443	9390	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7025	Hepatitis C virus	1b	EF407492	9375	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7026	Hepatitis C virus	1b	EF407485	9394	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7040	Hepatitis C virus	1a	EF407436	9348	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7040_FU24	Hepatitis C virus	1a	EU362893	9254	-N/A-	Unknown	-N/A-	USA	genomic RNA	
7041	Hepatitis C virus	1a	EF407451	9365	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7043_FU24	Hepatitis C virus	1a	EU362895	9358	-N/A-	Unknown	-N/A-	USA	genomic RNA	
7046	Hepatitis C virus	1a	EF407433	9393	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7046_FU24	Hepatitis C virus	1a	EU362896	9407	-N/A-	Unknown	-N/A-	USA	genomic RNA	
7055	Hepatitis C virus	1b	EF407501	9401	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7064	Hepatitis C virus	1b	EF407494	9384	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7065	Hepatitis C virus	1a	EF407455	9403	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
7065_FU24	Hepatitis C virus	1a	EU362897	9400	-N/A-	Unknown	-N/A-	USA	genomic RNA	
745291	Hepatitis C virus	-N/A-	KM504109	9409	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
8003	Hepatitis C virus	1a	EF407439	9375	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
8004	Hepatitis C virus	1a	EF407447	9410	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
8007	Hepatitis C virus	1b	EF407460	9390	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
8009	Hepatitis C virus	1a	EF407446	9335	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
8012	Hepatitis C virus	1a	EF407442	9331	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
8012_FU24	Hepatitis C virus	1a	EU362898	9337	-N/A-	Unknown	-N/A-	USA	genomic RNA	
8016	Hepatitis C virus	1b	EF407488	9392	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
8028	Hepatitis C virus	1a	EF407423	9369	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
8030	Hepatitis C virus	1a	EF407421	9327	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
8045	Hepatitis C virus	1b	EF407477	9339	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
8050	Hepatitis C virus	1b	EF407464	9320	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
8069	Hepatitis C virus	1b	EF407504	9399	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
8070	Hepatitis C virus	1a	EF407426	9436	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
811	Hepatitis C virus	3h	JF735126	9633	-N/A-	Human	Homo sapiens	Somalia	genomic RNA	
9055TF.UC1	Hepatitis C virus	3a	KM043280	9598	03/18/1998	Unknown	-N/A-	USA	genomic RNA	
9055TF.UC2	Hepatitis C virus	3a	KM043281	9635	03/18/1998	Unknown	-N/A-	USA	genomic RNA	
963	Hepatitis C virus	-N/A-	FN666428	9566	2002	Human	Homo sapiens	Spain	genomic RNA	
A	Hepatitis C virus	-N/A-	KX172138	9427	11/2014	Human	Homo sapiens	Belgium	genomic RNA	
Ad-JFH1-DeltaV3-EGFP	Hepatitis C virus	2a	KF268446	10320	05/01/2012	Human	Homo sapiens	USA	genomic RNA	
AH1	Hepatitis C virus	1b	AB429050	9374	03/18/1991	Human	Homo sapiens	Japan	genomic RNA	
B	Hepatitis C virus	1b	KM587615	9417	07/06/2012	Human	Homo sapiens	USA	genomic RNA	
BL120	Hepatitis C virus	6a	KJ678744	9403	-N/A-	Human	Homo sapiens	China	genomic RNA	
BL37	Hepatitis C virus	6a	KJ678745	9403	-N/A-	Human	Homo sapiens	China	genomic RNA	
C-0782	Hepatitis C virus	6f	KM504110	9423	-N/A-	Human	Homo sapiens	Thailand	genomic RNA	
C	Hepatitis C virus	2a	KM587616	9534	06/27/2012	Human	Homo sapiens	USA	genomic RNA	
C1292	Hepatitis C virus	2j	HM777359	9383	11/14/2005	Human	Homo sapiens	Venezuela	genomic RNA	
CG-TJ-HCV02	Hepatitis C virus	2a	KP721475	9635	06/01/2014	Unknown	-N/A-	China	genomic RNA	
CM_DAV9905	Hepatitis C virus	4f	EU392169	9309	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
CM_SP1578	Hepatitis C virus	4f	EU392170	9269	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
D	Hepatitis C virus	2b	KM587617	9466	05/31/2012	Human	Homo sapiens	Australia	genomic RNA	
D33	Hepatitis C virus	6l	EU246933	9364	-N/A-	Unknown	-N/A-	Viet Nam	genomic RNA	
D42	Hepatitis C virus	6e	EU246931	9370	-N/A-	Unknown	-N/A-	Viet Nam	genomic RNA	
D49	Hepatitis C virus	6t	EU246939	9364	-N/A-	Unknown	-N/A-	Viet Nam	genomic RNA	
D83	Hepatitis C virus	6u	EU246940	9367	-N/A-	Unknown	-N/A-	Viet Nam	genomic RNA	
D85	Hepatitis C virus	6o	EU246934	9364	-N/A-	Unknown	-N/A-	Viet Nam	genomic RNA	
D88	Hepatitis C virus	6e	EU246932	9382	-N/A-	Unknown	-N/A-	Viet Nam	genomic RNA	
D9	Hepatitis C virus	6a	EU246930	9376	-N/A-	Unknown	-N/A-	Viet Nam	genomic RNA	
DH012	Hepatitis C virus	6xa	EU408330	9451	-N/A-	Unknown	-N/A-	China	genomic RNA	
DH014	Hepatitis C virus	6xa	EU408331	9470	-N/A-	Unknown	-N/A-	China	genomic RNA	
DH027	Hepatitis C virus	6_JX183557	JX183557	9460	-N/A-	Human	Homo sapiens	China	genomic RNA	
DH028	Hepatitis C virus	6xa	EU408332	9443	-N/A-	Unknown	-N/A-	China	genomic RNA	
DH10/JFH1	Hepatitis C virus	2b/2a	KC967478	9678	03/01/2012	Human	Homo sapiens	Denmark	genomic RNA	
DH8/JFH1	Hepatitis C virus	2b/2a	KC967477	9678	03/01/2012	Human	Homo sapiens	Denmark	genomic RNA	
E	Hepatitis C virus	2b	KM587618	9497	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
EBW424	Hepatitis C virus	-N/A-	KC248197	9433	-N/A-	Human	Homo sapiens	Cameroon	genomic RNA	
EBW443	Hepatitis C virus	1h	KC248198	9421	-N/A-	Human	Homo sapiens	Cameroon	genomic RNA	
EBW9	Hepatitis C virus	1h	KC248199	9420	-N/A-	Human	Homo sapiens	Cameroon	genomic RNA	
F	Hepatitis C virus	2c	KM587619	9637	12/10/2010	Human	Homo sapiens	New Zealand	genomic RNA	
FrBd0565	Hepatitis C virus	2j	KC197232	9440	2005	Human	Homo sapiens	France	genomic RNA	
FrBd3618	Hepatitis C virus	2c	KC197228	9445	2004	Human	Homo sapiens	France	genomic RNA	
fs1	Hepatitis C virus	6a	KJ678746	9360	-N/A-	Human	Homo sapiens	China	genomic RNA	
fs12	Hepatitis C virus	6a	KJ678747	9435	-N/A-	Human	Homo sapiens	China	genomic RNA	
fs13	Hepatitis C virus	6a	KJ678748	9401	-N/A-	Human	Homo sapiens	China	genomic RNA	
fs14	Hepatitis C virus	6a	KJ678749	9428	-N/A-	Human	Homo sapiens	China	genomic RNA	
fs3	Hepatitis C virus	6a	KJ678750	9429	-N/A-	Human	Homo sapiens	China	genomic RNA	
fs6	Hepatitis C virus	6a	KJ678751	9422	-N/A-	Human	Homo sapiens	China	genomic RNA	
G	Hepatitis C virus	2c	KM587620	9634	05/16/2012	Human	Homo sapiens	USA	genomic RNA	
gb14	Hepatitis C virus	6a	KJ678752	9398	-N/A-	Human	Homo sapiens	China	genomic RNA	
gb26	Hepatitis C virus	6a	KJ678753	9424	-N/A-	Human	Homo sapiens	China	genomic RNA	
gb28	Hepatitis C virus	6a	KJ678754	9520	-N/A-	Human	Homo sapiens	China	genomic RNA	
gb9	Hepatitis C virus	6a	KJ678755	9427	-N/A-	Human	Homo sapiens	China	genomic RNA	
genotype II/1b	Hepatitis C virus	1b	D85516	9535	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
GNQ	Hepatitis C virus	1_AJ851228	AJ851228	9481	-N/A-	Human	Homo sapiens	Equatorial Guinea	genomic RNA	
GZ0012	Hepatitis C virus	6a	KJ678756	9460	-N/A-	Human	Homo sapiens	China	genomic RNA	
GZ0020	Hepatitis C virus	6a	KJ678757	9474	-N/A-	Human	Homo sapiens	China	genomic RNA	
GZ0046	Hepatitis C virus	6a	KJ678758	9476	-N/A-	Human	Homo sapiens	China	genomic RNA	
GZ0144	Hepatitis C virus	6a	KJ678759	9470	-N/A-	Human	Homo sapiens	China	genomic RNA	
GZ0223	Hepatitis C virus	6a	KJ678760	9472	-N/A-	Human	Homo sapiens	China	genomic RNA	
GZ0307	Hepatitis C virus	6a	KJ678761	9467	-N/A-	Human	Homo sapiens	China	genomic RNA	
GZ0311	Hepatitis C virus	6a	KJ678762	9476	-N/A-	Human	Homo sapiens	China	genomic RNA	
GZ0313	Hepatitis C virus	6a	KJ678763	9437	-N/A-	Human	Homo sapiens	China	genomic RNA	
GZ0366	Hepatitis C virus	6a	KJ678764	9442	-N/A-	Human	Homo sapiens	China	genomic RNA	
GZ0545	Hepatitis C virus	6a	KJ678765	9480	-N/A-	Human	Homo sapiens	China	genomic RNA	
gz1	Hepatitis C virus	6a	KJ678766	9416	-N/A-	Human	Homo sapiens	China	genomic RNA	
GZ52557	Hepatitis C virus	6w	DQ278892	9448	-N/A-	Unknown	-N/A-	China	genomic RNA	
H	Hepatitis C virus	2j	KM587621	9551	04/26/2012	Human	Homo sapiens	USA	genomic RNA	
H77	Hepatitis C virus	1a	NC_004102*	9646	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HC-C2	Hepatitis C virus	1b	D10934	9456	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HC-J1	Hepatitis C virus	1a	D10749	9502	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HC-J4	Hepatitis C virus	1b	D10750	9460	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HC-J4	Hepatitis C virus	1b	D13558	9448	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HC-J6	Hepatitis C virus	2a	D00944	9589	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HC-J8	Hepatitis C virus	2b	D10988	9511	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HC10-0804	Hepatitis C virus	2b/1b	AB622121	9452	08/05/2010	Unknown	-N/A-	Japan	genomic RNA	
HCV-1b	Hepatitis C virus	1b	D50480	9410	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-1b	Hepatitis C virus	1b	D50481	9410	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-1b	Hepatitis C virus	1b	D50482	9410	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-1b	Hepatitis C virus	1b	D50483	9410	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-1b	Hepatitis C virus	1b	D50484	9410	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-1b	Hepatitis C virus	1b	D50485	9410	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-6-D140	Hepatitis C virus	6w	EU643834	9147	-N/A-	Unknown	-N/A-	Taiwan	genomic RNA	
HCV-6-D177	Hepatitis C virus	2b/6w	EU643835	9144	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-6-D370	Hepatitis C virus	6w	EU643836	9144	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-A	Hepatitis C virus	1b	AJ000009	9379	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-AD78	Hepatitis C virus	1b	AJ132996	9418	-N/A-	Unknown	-N/A-	Germany	genomic RNA	
HCV-AD78P1	Hepatitis C virus	1b	AJ132997	9533	-N/A-	Unknown	-N/A-	Germany	genomic RNA	
HCV-B5808	Hepatitis C virus	2b/1b	AB677527	9471	11/16/1993	Human	Homo sapiens	Japan	genomic RNA	
HCV-KT9	Hepatitis C virus	1b	AB435162	9621	-N/A-	Unknown	-N/A-	Japan	genomic RNA	
HCV-M2777	Hepatitis C virus	2b/1b	AB677532	9392	04/12/2010	Human	Homo sapiens	Japan	genomic RNA	
HCV-M4414	Hepatitis C virus	2b/1b	AB677530	9321	08/22/1998	Human	Homo sapiens	Japan	genomic RNA	
HCV-M4416	Hepatitis C virus	2b/1b	AB677529	9321	09/03/1997	Human	Homo sapiens	Japan	genomic RNA	
HCV-M4430	Hepatitis C virus	2b/1b	AB677528	9471	05/12/2010	Human	Homo sapiens	Japan	genomic RNA	
HCV-M4431	Hepatitis C virus	2b/1b	AB677531	9321	05/19/2003	Human	Homo sapiens	Japan	genomic RNA	
HCV-M8774	Hepatitis C virus	2b/1b	AB677533	9471	01/12/2011	Human	Homo sapiens	Japan	genomic RNA	
HCV-N	Hepatitis C virus	1b	D63857	9295	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCVT050	Hepatitis C virus	1b	AB049087	9426	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT094	Hepatitis C virus	1b	AB049088	9616	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT109	Hepatitis C virus	1b	AB049089	9571	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT140	Hepatitis C virus	1b	AB049090	9573	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT142	Hepatitis C virus	1b	AB049091	9547	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT145	Hepatitis C virus	1b	AB049092	9344	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT150	Hepatitis C virus	1b	AB049093	9435	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT161	Hepatitis C virus	1b	AB049094	9480	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT169	Hepatitis C virus	1b	AB049095	9585	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT191	Hepatitis C virus	1b	AB049096	9344	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT197	Hepatitis C virus	1b	AB049097	9460	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT209	Hepatitis C virus	1b	AB049098	9419	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT212	Hepatitis C virus	1b	AB049099	9504	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT217	Hepatitis C virus	1b	AB049100	9344	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HCVT221	Hepatitis C virus	1b	AB049101	9598	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
HH064	Hepatitis C virus	6a	KJ678767	9424	-N/A-	Human	Homo sapiens	China	genomic RNA	
HH075	Hepatitis C virus	6a	KJ678768	9421	-N/A-	Human	Homo sapiens	China	genomic RNA	
HH081	Hepatitis C virus	6a	KJ678769	9425	-N/A-	Human	Homo sapiens	China	genomic RNA	
HH093	Hepatitis C virus	6a	KJ678770	9425	-N/A-	Human	Homo sapiens	China	genomic RNA	
HK25	Hepatitis C virus	-N/A-	KJ470622	9474	-N/A-	Unknown	-N/A-	China	genomic RNA	
HK26	Hepatitis C virus	-N/A-	KJ470623	9435	-N/A-	Unknown	-N/A-	China	genomic RNA	
HK38	Hepatitis C virus	-N/A-	KJ470624	9474	-N/A-	Unknown	-N/A-	China	genomic RNA	
HK43	Hepatitis C virus	-N/A-	KJ470625	9430	-N/A-	Unknown	-N/A-	China	genomic RNA	
