taxon	genotype	genotypeSubtype	genotypeSubtypePrimaryAcc
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/D14853	1	1/c	1/c/D14853
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/D28917	3	3/a	3/a/D28917
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/D49374	3	3/b	3/b/D49374
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/D50409	2	2/c	2/c/D50409
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/D63821	3	3/k	3/k/D63821
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/D63822	6	6/g	6/g/D63822
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/D84263	6	6/d	6/d/D84263
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/D84264	6	6/k	6/k/D84264
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/D84265	6	6/h	6/h/D84265
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/D90208	1	1/b	1/b/D90208
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ155561	2	2/i	2/i/DQ155561
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ278891	6	6/-	6/-/DQ278891
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ278892	6	6/w	6/w/DQ278892
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ278893	6	6/-	6/-/DQ278893
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ278894	6	6/n	6/n/DQ278894
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ314805	6	6/e	6/e/DQ314805
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ314806	6	6/g	6/g/DQ314806
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ418786	4	4/d	4/d/DQ418786
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ418789	4	4/a	4/a/DQ418789
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ835760	6	6/f	6/f/DQ835760
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ835761	6	6/j	6/j/DQ835761
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ835762	6	6/i	6/i/DQ835762
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ835766	6	6/m	6/m/DQ835766
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ835767	6	6/m	6/m/DQ835767
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ835768	6	6/n	6/n/DQ835768
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ835769	6	6/j	6/j/DQ835769
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ835770	6	6/i	6/i/DQ835770
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/DQ988074	4	4/a	4/a/DQ988074
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EF407457	1	1/a	1/a/EF407457
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EF424625	6	6/q	6/q/EF424625
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EF424626	6	6/p	6/p/EF424626
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EF424627	6	6/o	6/o/EF424627
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EF424628	6	6/l	6/l/EF424628
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EF424629	6	6/c	6/c/EF424629
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EF589161	4	4/f	4/f/EF589161
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EF632071	6	6/t	6/t/EF632071
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU158186	6	6/v	6/v/EU158186
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU246930	6	6/a	6/a/EU246930
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU246931	6	6/e	6/e/EU246931
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU246932	6	6/e	6/e/EU246932
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU246934	6	6/o	6/o/EU246934
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU246936	6	6/f	6/f/EU246936
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU246938	6	6/n	6/n/EU246938
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU246939	6	6/t	6/t/EU246939
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU246940	6	6/u	6/u/EU246940
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU392171	4	4/k	4/k/EU392171
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU392172	4	4/d	4/d/EU392172
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU392173	4	4/k	4/k/EU392173
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU392174	4	4/f	4/f/EU392174
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU392175	4	4/f	4/f/EU392175
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU408328	6	6/r	6/r/EU408328
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU408329	6	6/s	6/s/EU408329
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU408330	6	6/xa	6/xa/EU408330
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU408331	6	6/xa	6/xa/EU408331
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU408332	6	6/xa	6/xa/EU408332
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU643834	6	6/w	6/w/EU643834
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU643836	6	6/w	6/w/EU643836
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU781827	1	1/b	1/b/EU781827
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU781828	1	1/b	1/b/EU781828
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU798760	6	6/v	6/v/EU798760
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/EU798761	6	6/v	6/v/EU798761
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ025854	4	4/-	4/-/FJ025854
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ025855	4	4/w	4/w/FJ025855
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ025856	4	4/w	4/w/FJ025856
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ407092	3	3/i	3/i/FJ407092
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ462431	4	4/p	4/p/FJ462431
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ462432	4	4/g	4/g/FJ462432
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ462433	4	4/m	4/m/FJ462433
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ462434	4	4/q	4/q/FJ462434
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ462435	4	4/b	4/b/FJ462435
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ462436	4	4/c	4/c/FJ462436
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ462437	4	4/d	4/d/FJ462437
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ462438	4	4/k	4/k/FJ462438
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ462439	4	4/r	4/r/FJ462439
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ462440	4	4/o	4/o/FJ462440
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ462441	4	4/n	4/n/FJ462441
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ839869	4	4/t	4/t/FJ839869
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FJ839870	4	4/l	4/l/FJ839870
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FN666428	2	2/q	2/q/FN666428
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/FN666429	2	2/q	2/q/FN666429
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/HM777358	2	2/j	2/j/HM777358
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/HM777359	2	2/j	2/j/HM777359
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/HQ537007	1	1/-	1/-/HQ537007
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/HQ537008	4	4/v	4/v/HQ537008
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/HQ537009	4	4/v	4/v/HQ537009
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/HQ639936	6	6/a	6/a/HQ639936
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/HQ639944	2	2/a	2/a/HQ639944
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/HQ850279	1	1/a	1/a/HQ850279
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735110	2	2/-	2/-/JF735110
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735111	2	2/m	2/m/JF735111
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735112	2	2/u	2/u/JF735112
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735113	2	2/j	2/j/JF735113
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735114	2	2/d	2/d/JF735114
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735115	2	2/r	2/r/JF735115
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735116	2	2/-	2/-/JF735116
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735117	2	2/-	2/-/JF735117
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735118	2	2/-	2/-/JF735118
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735119	2	2/-	2/-/JF735119
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735120	2	2/e	2/e/JF735120
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735121	3	3/h	3/h/JF735121
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735122	3	3/k	3/k/JF735122
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735123	3	3/g	3/g/JF735123
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735124	3	3/-	3/-/JF735124
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735126	3	3/h	3/h/JF735126
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735127	4	4/-	4/-/JF735127
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735129	4	4/-	4/-/JF735129
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735130	4	4/-	4/-/JF735130
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735131	4	4/-	4/-/JF735131
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735132	4	4/-	4/-/JF735132
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735134	4	4/-	4/-/JF735134
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735135	4	4/-	4/-/JF735135
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735136	4	4/s	4/s/JF735136
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JF735138	4	4/-	4/-/JF735138
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JN714194	3	3/a	3/a/JN714194
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JQ065709	3	3/b	3/b/JQ065709
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX183549	6	6/-	6/-/JX183549
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX183550	6	6/-	6/-/JX183550
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX183551	6	6/-	6/-/JX183551
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX183552	6	6/xb	6/xb/JX183552
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX183553	6	6/-	6/-/JX183553
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX183554	6	6/-	6/-/JX183554
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX183556	6	6/l	6/l/JX183556
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX183557	6	6/xe	6/xe/JX183557
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX183558	6	6/-	6/-/JX183558
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227949	2	2/c	2/c/JX227949
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227953	2	2/k	2/k/JX227953
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227954	3	3/g	3/g/JX227954
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227955	3	3/i	3/i/JX227955
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227957	4	4/l	4/l/JX227957
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227959	4	4/v	4/v/JX227959
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227960	4	4/v	4/v/JX227960
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227963	4	4/g	4/g/JX227963
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227964	4	4/-	4/-/JX227964
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227967	2	2/m	2/m/JX227967
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227970	4	4/n	4/n/JX227970
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227971	4	4/g	4/g/JX227971
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227972	4	4/m	4/m/JX227972
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227976	4	4/r	4/r/JX227976
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/JX227977	4	4/o	4/o/JX227977
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC197235	2	2/l	2/l/KC197235
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC197236	2	2/-	2/-/KC197236
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC197237	2	2/-	2/-/KC197237
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC197238	2	2/t	2/t/KC197238
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC197239	2	2/-	2/-/KC197239
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC197240	2	2/l	2/l/KC197240
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC248193	1	1/l	1/l/KC248193
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC248194	1	1/e	1/e/KC248194
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC248195	1	1/-	1/-/KC248195
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC248196	1	1/l	1/l/KC248196
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC248197	1	1/l	1/l/KC248197
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC248198	1	1/h	1/h/KC248198
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC248199	1	1/h	1/h/KC248199
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC844039	6	6/-	6/-/KC844039
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC844040	6	6/-	6/-/KC844040
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC844042	2	2/f	2/f/KC844042
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KC844050	2	2/f	2/f/KC844050
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ439768	1	1/d	1/d/KJ439768
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ439772	1	1/i	1/i/KJ439772
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ439773	1	1/j	1/j/KJ439773
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ439774	1	1/k	1/k/KJ439774
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ439775	1	1/n	1/n/KJ439775
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ439776	1	1/-	1/-/KJ439776
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ439777	1	1/-	1/-/KJ439777
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ439778	1	1/m	1/m/KJ439778
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ439779	1	1/-	1/-/KJ439779
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ439780	1	1/-	1/-/KJ439780
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ439781	1	1/n	1/n/KJ439781
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ439782	1	1/m	1/m/KJ439782
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ470618	3	3/e	3/e/KJ470618
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ470619	3	3/d	3/d/KJ470619
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ470620	6	6/-	6/-/KJ470620
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ470621	6	6/-	6/-/KJ470621
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ470622	6	6/-	6/-/KJ470622
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ470623	6	6/-	6/-/KJ470623
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ470624	6	6/-	6/-/KJ470624
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ470625	6	6/-	6/-/KJ470625
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ567645	6	6/xb	6/xb/KJ567645
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KJ567651	6	6/xc	6/xc/KJ567651
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KM252789	6	6/xd	6/xd/KM252789
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KM252790	6	6/xd	6/xd/KM252790
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KM252791	6	6/xd	6/xd/KM252791
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/KM252792	6	6/xe	6/xe/KM252792
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/M58335	1	1/b	1/b/M58335
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/M62321	1	1/a	1/a/M62321
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/M67463	1	1/a	1/a/M67463
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/NC_004102	1	1/a	1/a/NC_004102
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/NC_009824	3	3/a	3/a/NC_009824
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/NC_009825	4	4/a	4/a/NC_009825
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/NC_009826	5	5/a	5/a/NC_009826
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/NC_009827	6	6/b	6/b/NC_009827
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/NC_030791	7	7/a	7/a/NC_030791
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/X76918	3	3/a	3/a/X76918
alignment/AL_UNCONSTRAINED/member/ncbi-refseqs/Y12083	6	6/a	6/a/Y12083
