sequenceId	conclusionTaxon	conclusionTaxonSupport	blastClusterConclusion	blastIdentityScore	alignmentFile	logFile	treeFile
0454-11489	3a	100.0	HCV	0.93043476	r5935822.nex	r2644861.log	r5089317.tre
2493-11328	3a	100.0	HCV	0.93134964	r2864868.nex	r5862357.log	r3050915.tre
8669-11094	3a	100.0	HCV	0.93167835	r2936900.nex	r1296130.log	r5159963.tre
2689-11204	3a	100.0	HCV	0.9279423	r1531943.nex	r8768045.log	r8985758.tre
0518-11232	3a	100.0	HCV	0.9397731	r5526944.nex	r3094830.log	r1691612.tre
1069-11548	3a	100.0	HCV	0.9328105	r5005866.nex	r8606477.log	r5483759.tre
3314-11267	3a	100.0	HCV	0.930087	r3468732.nex	r7999927.log	r4716754.tre
0454-11482	3a	100.0	HCV	0.9311883	r5615816.nex	r1891634.log	r6885996.tre
0454-11449	3a	100.0	HCV	0.9324697	r4086745.nex	r4409236.log	r5815849.tre
2031-11354	3a	100.0	HCV	0.92782736	r9462622.nex	r2226595.log	r9157523.tre
1624-11106	3a	100.0	HCV	0.9278887	r7094391.nex	r3821553.log	r9343155.tre
3078-11110	3a	100.0	HCV	0.9128683	r9383894.nex	r6470426.log	r5336276.tre
0518-11427	3a	100.0	HCV	0.9448685	r883903.nex	r6954418.log	r1349581.tre
2074-11443	3a	100.0	HCV	0.9392107	r1252559.nex	r623124.log	r6702825.tre
1126-11474	3a	100.0	HCV	0.9289351	r8602803.nex	r5607699.log	r4385191.tre
2080-11558	3a	100.0	HCV	0.93209743	r3051499.nex	r7208913.log	r9438278.tre
0500-11479	3a	100.0	HCV	0.92724574	r3948369.nex	r5130379.log	r488989.tre
0310-11229	3a	100.0	HCV	0.9336236	r4992235.nex	r8920833.log	r5866125.tre
8670-11066	3a	100.0	HCV	0.92912465	r4287845.nex	r2797327.log	r1952204.tre
3078-11023	3a	100.0	HCV	0.9269043	r9039807.nex	r846838.log	r376533.tre
5278-11544	3a	100.0	HCV	0.93153596	r1255941.nex	r9580191.log	r8750595.tre
2074-11438	3a	100.0	HCV	0.9304921	r5977284.nex	r2809536.log	r669788.tre
5498-11247	3a	100.0	HCV	0.92569	r7535138.nex	r7141164.log	r7851888.tre
5278-11503	3a	100.0	HCV	0.9360595	r9593747.nex	r1142116.log	r234409.tre
8666-11526	3a	100.0	HCV	0.92966264	r9074751.nex	r9923663.log	r6480902.tre
2474-11542	3a	100.0	HCV	0.92882144	r8804742.nex	r4859482.log	r3043710.tre
4322-11015	3a	100.0	HCV	0.84210527	r7881638.nex	r9086674.log	r3525286.tre
8669-11417	3a	100.0	HCV	0.9142978	r6203601.nex	r8777518.log	r3704831.tre
2031-11452	3a	100.0	HCV	0.9503448	r4892792.nex	r1950509.log	r8841196.tre
2075-11477	3a	100.0	HCV	0.9349809	r3478868.nex	r7139730.log	r7962837.tre
0071-11447	3a	100.0	HCV	0.91676384	r835316.nex	r7405331.log	r3616228.tre
5278-11545	3a	100.0	HCV	0.9234277	r1694287.nex	r7028197.log	r9129509.tre
0500-11581	3a	100.0	HCV	0.9351616	r5753817.nex	r5288347.log	r9106066.tre
6876-11177	3a	100.0	HCV	0.9354052	r5084140.nex	r4907289.log	r5095663.tre
5295-11088	3a	100.0	HCV	0.9278897	r2744169.nex	r562881.log	r14734.tre
5367-11539	3a	100.0	HCV	0.930943	r6832573.nex	r560367.log	r9864908.tre
0071-11486	3a	100.0	HCV	0.9335809	r5924647.nex	r1828419.log	r163044.tre
2080-11566	3a	100.0	HCV	0.9414882	r1439171.nex	r6261720.log	r9626972.tre
6214-11335	3a	100.0	HCV	0.9281692	r6693269.nex	r7444583.log	r5606508.tre
0071-11469	2b	100.0	HCV	0.76914144	r1476353.nex	r952138.log	r225130.tre
5283-11225	3a	100.0	HCV	0.9329437	r600123.nex	r1647005.log	r6337067.tre
5294-11163	3a	100.0	HCV	0.92544603	r3662892.nex	r7474389.log	r4263788.tre
2074-11369	3a	100.0	HCV	0.9418124	r1785484.nex	r1346268.log	r5540707.tre
4322-11282	3a	100.0	HCV	0.9265782	r5651415.nex	r8435715.log	r8191364.tre
2080-11572	3a	100.0	HCV	0.9340613	r4822648.nex	r1803103.log	r2087325.tre
1249-11501	2b	100.0	HCV	0.7677344	r7289420.nex	r3203466.log	r3466720.tre
0452-11317	2b	100.0	HCV	0.7701903	r9226005.nex	r4628348.log	r595778.tre
4001-11060	3b	100.0	HCV	0.79118896	r8489965.nex	r4955859.log	r9704478.tre
3078-11451	3a	100.0	HCV	0.9291998	r8951453.nex	r4222976.log	r5735358.tre
8815-11314	3a	100.0	HCV	0.9324353	r6460583.nex	r4995270.log	r9669573.tre
2456-11428	3a	100.0	HCV	0.9310016	r4382706.nex	r2103792.log	r6178183.tre
2474-11505	3a	100.0	HCV	0.93047166	r2701502.nex	r8922741.log	r6671799.tre
2074-11557	3a	100.0	HCV	0.93029916	r3862445.nex	r1899811.log	r5182102.tre
0451-11321	3a	100.0	HCV	0.9314619	r805192.nex	r349462.log	r9658307.tre
2075-11392	3a	100.0	HCV	0.9314298	r4433869.nex	r9092354.log	r1631476.tre
9901-11138	3a	100.0	HCV	0.93572336	r9170466.nex	r7007991.log	r2821083.tre
8668-11559	3a	100.0	HCV	0.94122016	r592685.nex	r7841758.log	r8557930.tre
6823-11461	3a	100.0	HCV	0.93080026	r3881698.nex	r8190087.log	r7376133.tre
4323-11186	3a	100.0	HCV	0.9344593	r6341730.nex	r5122201.log	r7863213.tre
5868-11213	2b	100.0	HCV	0.7689302	r386405.nex	r2990969.log	r8224117.tre
6823-11412	3a	100.0	HCV	0.92976874	r364237.nex	r8594210.log	r5923528.tre
2474-11506	3a	100.0	HCV	0.9334748	r3515961.nex	r4836383.log	r7204727.tre
2074-11346	3a	100.0	HCV	0.91599405	r9704768.nex	r6496420.log	r6814791.tre
6876-11553	3a	100.0	HCV	0.92955655	r2711240.nex	r8007968.log	r4689351.tre
0452-11241	3a	100.0	HCV	0.9370696	r1830368.nex	r3742296.log	r8500810.tre
0454-11519	3a	100.0	HCV	0.93835545	r8008437.nex	r7506755.log	r9242263.tre
0595-11589	2a	100.0	HCV	0.7778953	r3543603.nex	r365684.log	r4004380.tre
5278-11387	3a	100.0	HCV	0.92996067	r5974543.nex	r590294.log	r287431.tre
8673-11570	3a	100.0	HCV	0.930837	r2982736.nex	r4567083.log	r9461874.tre
3314-11283	2a	100.0	HCV	0.7787526	r8015164.nex	r16241.log	r5257145.tre
6823-11585	3a	100.0	HCV	0.92690957	r5264824.nex	r9559710.log	r5265690.tre
2074-11378	3a	100.0	HCV	0.93082225	r4561545.nex	r8597833.log	r2025422.tre
0452-11302	3a	100.0	HCV	0.9274963	r5441442.nex	r8984094.log	r5040350.tre
1119-11471	3a	100.0	HCV	0.9306322	r1924510.nex	r7642277.log	r842048.tre
5730-11375	3a	100.0	HCV	0.930087	r3924040.nex	r1228964.log	r885388.tre
2031-11320	3a	100.0	HCV	0.92735	r7019945.nex	r8562950.log	r1124999.tre
2080-11536	3a	100.0	HCV	0.92639726	r8820507.nex	r6035338.log	r6653308.tre
1069-11318	1a	100.0	HCV	0.92006475	r2756716.nex	r5135488.log	r5826064.tre
2031-11319	3a	100.0	HCV	0.9500903	r8473861.nex	r3334387.log	r4609566.tre
2080-11492	3a	100.0	HCV	0.93801	r1260418.nex	r1055242.log	r5486800.tre
2075-11395	3a	100.0	HCV	0.9285032	r2519543.nex	r1536082.log	r3833225.tre
6823-11413	3a	100.0	HCV	0.94762564	r7005856.nex	r3541725.log	r1223454.tre
2031-11454	3a	100.0	HCV	0.949406	r4934506.nex	r1196755.log	r1444737.tre
2080-11420	2b	100.0	HCV	0.770019	r9662022.nex	r3460893.log	r8737637.tre
2029-11460	3a	100.0	HCV	0.9366861	r1638097.nex	r6995231.log	r4068347.tre
2474-11521	3a	100.0	HCV	0.92785037	r423909.nex	r7878486.log	r6905712.tre
5283-11343	3a	100.0	HCV	0.9228726	r4364181.nex	r1678611.log	r6821414.tre
2074-11577	3a	100.0	HCV	0.93532974	r2817567.nex	r4041070.log	r4759157.tre
6876-11310	3a	100.0	HCV	0.9425056	r2742327.nex	r6633195.log	r9136085.tre
2080-11567	3a	100.0	HCV	0.9354531	r2514212.nex	r8773323.log	r9779359.tre
0518-11231	3a	100.0	HCV	0.94187033	r6133295.nex	r5120532.log	r518398.tre
0454-11373	2a	100.0	HCV	0.736821	r2265315.nex	r3292001.log	r786043.tre
3314-11431	3a	100.0	HCV	0.92713755	r3934410.nex	r2213771.log	r8187946.tre
6823-11517	3a	100.0	HCV	0.93928456	r456645.nex	r6923811.log	r7535064.tre
6841-11568	2b	100.0	HCV	0.7705143	r8321074.nex	r4889820.log	r1763498.tre
8817-11598	3a	100.0	HCV	0.9253367	r1352203.nex	r475078.log	r1038781.tre
7393-11230	3a	100.0	HCV	0.9352029	r2083249.nex	r2486579.log	r5705801.tre
9700-11274	3a	100.0	HCV	0.92764693	r4329484.nex	r9678065.log	r8004433.tre
6823-11391	3a	100.0	HCV	0.9234607	r9055065.nex	r1323549.log	r7131450.tre
5283-11238	3a	100.0	HCV	0.93591243	r9360144.nex	r4718553.log	r6420467.tre
2074-11368	3a	100.0	HCV	0.93363065	r8170761.nex	r3304222.log	r7498132.tre
0595-11352	3a	100.0	HCV	0.93195546	r8822921.nex	r4161796.log	r8818950.tre
2080-11534	3a	100.0	HCV	0.9320491	r9303472.nex	r959213.log	r252434.tre
1119-11551	3a	100.0	HCV	0.9386932	r7200739.nex	r1313057.log	r4059087.tre
1126-11586	3a	100.0	HCV	0.93111134	r9491248.nex	r5933380.log	r141233.tre
2080-11494	3a	100.0	HCV	0.92594707	r2156842.nex	r1192303.log	r6411332.tre
8673-11549	3a	100.0	HCV	0.9316203	r9007240.nex	r3245040.log	r1924597.tre
0500-11578	3a	100.0	HCV	0.92614603	r3345102.nex	r4731415.log	r3416170.tre
2474-11520	3a	100.0	HCV	0.9390594	r4912034.nex	r4721656.log	r8694146.tre
6823-11518	3a	100.0	HCV	0.92681116	r620522.nex	r8721778.log	r7432686.tre
4029-11275	3a	100.0	HCV	0.9282008	r4503217.nex	r5408403.log	r991632.tre
2029-11601	3b	100.0	HCV	0.78653353	r6204308.nex	r498912.log	r3309628.tre
2080-11419	3a	100.0	HCV	0.9292618	r6561753.nex	r1112043.log	r4127475.tre
0532-11466	3a	100.0	HCV	0.93655014	r7044486.nex	r2741756.log	r9379625.tre
5730-11376	3a	100.0	HCV	0.9032327	r5941738.nex	r1834539.log	r301510.tre
2031-11353	3a	100.0	HCV	0.9315913	r3912314.nex	r8323368.log	r6513106.tre
8672-11442	3a	100.0	HCV	0.9422567	r8158404.nex	r9014484.log	r5705014.tre
2080-11493	2a	100.0	HCV	0.77764857	r3594847.nex	r7457470.log	r633658.tre
0454-11382	3a	100.0	HCV	0.92964184	r8841356.nex	r7169150.log	r8205025.tre
3314-11226	3a	100.0	HCV	0.9248512	r4387014.nex	r8865100.log	r5596056.tre
0454-11374	3a	100.0	HCV	0.93767226	r6722463.nex	r6749059.log	r4543486.tre
1069-11192	3a	100.0	HCV	0.95370567	r3548024.nex	r5105359.log	r3210897.tre
6823-11390	3a	100.0	HCV	0.9363308	r4050454.nex	r2407270.log	r4382940.tre
5367-11588	3a	100.0	HCV	0.9259574	r7656431.nex	r6185022.log	r5358264.tre
4001-11380	3a	100.0	HCV	0.93910736	r641044.nex	r3167907.log	r2749489.tre
2074-11396	3i	100.0	HCV	0.78967494	r3158815.nex	r9038898.log	r4303311.tre
2074-11556	3a	100.0	HCV	0.93414766	r5199912.nex	r467125.log	r9308039.tre
2127-11345	2b	100.0	HCV	0.7706529	r8735882.nex	r7254876.log	r3589457.tre
6823-11367	3a	100.0	HCV	0.92633516	r2957343.nex	r143101.log	r7894084.tre
0719-11358	3a	100.0	HCV	0.9300744	r3377384.nex	r1647398.log	r5163475.tre
6823-11366	3a	100.0	HCV	0.91926914	r2232925.nex	r2171519.log	r9353522.tre
2029-11573	3a	100.0	HCV	0.94666666	r2828259.nex	r8946750.log	r2949110.tre
0532-11453	3a	100.0	HCV	0.9331975	r4355250.nex	r375221.log	r5134310.tre
0719-11383	3a	100.0	HCV	0.9387863	r2000779.nex	r1299350.log	r8042957.tre
2074-11540	3a	100.0	HCV	0.9299532	r3787570.nex	r5170639.log	r4451723.tre
8672-11351	3a	100.0	HCV	0.9283969	r5293420.nex	r1639777.log	r2513507.tre
5278-11385	3a	100.0	HCV	0.93653154	r5592252.nex	r8432491.log	r9027195.tre
0719-11325	3a	100.0	HCV	0.9251722	r9862216.nex	r9816376.log	r3740189.tre
2074-11415	3a	100.0	HCV	0.93421054	r84637.nex	r7138955.log	r2287220.tre
0518-11296	3a	100.0	HCV	0.93098694	r6693994.nex	r6990082.log	r7976565.tre
0719-11576	3a	100.0	HCV	0.9298078	r4104445.nex	r4072918.log	r4005700.tre
4029-11394	3a	100.0	HCV	0.92769164	r9866391.nex	r3985761.log	r3846867.tre
8673-11523	3a	100.0	HCV	0.9265659	r1537704.nex	r565279.log	r2275994.tre
6836-11297	3a	100.0	HCV	0.93085164	r8273747.nex	r5505778.log	r4617884.tre
0057-11206	3a	100.0	HCV	0.9371083	r4165666.nex	r231917.log	r6597338.tre
5283-11372	3a	100.0	HCV	0.92890495	r5071709.nex	r1309033.log	r3002643.tre
0452-11303	3a	100.0	HCV	0.9459058	r6554395.nex	r9628811.log	r4037349.tre
2074-11389	3a	100.0	HCV	0.914128	r5460974.nex	r7351986.log	r6965954.tre
2074-11440	3a	100.0	HCV	0.91188633	r4328476.nex	r3575524.log	r3765052.tre
2080-11421	3a	100.0	HCV	0.93581295	r1600359.nex	r1560980.log	r7376061.tre
7393-11212	3a	100.0	HCV	0.9352747	r4937198.nex	r15381.log	r8707917.tre
2074-11377	3a	100.0	HCV	0.9269365	r6413211.nex	r7281571.log	r3586366.tre
6823-11329	3a	100.0	HCV	0.93687564	r9907913.nex	r3224362.log	r236249.tre
0719-11344	3a	100.0	HCV	0.9562447	r3924766.nex	r1797966.log	r6185395.tre
1126-11433	3a	100.0	HCV	0.9340053	r919195.nex	r76886.log	r7277106.tre
2826-11538	3a	100.0	HCV	0.8974326	r9230901.nex	r1745497.log	r4614372.tre
5278-11468	3a	100.0	HCV	0.91633046	r1989649.nex	r3146091.log	r3359736.tre
3314-11249	3a	100.0	HCV	0.936851	r4034022.nex	r3206354.log	r3356252.tre
0500-11475	3a	100.0	HCV	0.92639405	r2184483.nex	r6473282.log	r8140974.tre
2826-11537	3a	100.0	HCV	0.90940917	r5266450.nex	r3082388.log	r3528062.tre
2080-11535	3a	100.0	HCV	0.92760086	r7852373.nex	r5794167.log	r6891604.tre
6841-11562	2b	100.0	HCV	0.7688485	r2126470.nex	r3621288.log	r6383512.tre
2456-11563	3a	100.0	HCV	0.9187726	r8225043.nex	r9360284.log	r6276555.tre
4029-11402	3a	100.0	HCV	0.9348496	r6941472.nex	r2220101.log	r3222889.tre
2029-11430	3a	100.0	HCV	0.952583	r789947.nex	r8838313.log	r5159968.tre
2075-11393	3a	100.0	HCV	0.92585915	r4804696.nex	r9673068.log	r9123364.tre
2074-11414	3a	100.0	HCV	0.92648774	r3075244.nex	r1297289.log	r8831250.tre
6823-11584	3a	100.0	HCV	0.93973476	r6658818.nex	r7542816.log	r9700219.tre
6823-11487	3a	100.0	HCV	0.93459135	r102065.nex	r3287167.log	r6294766.tre
1126-11510	3a	100.0	HCV	0.92174214	r7266784.nex	r7332758.log	r4586922.tre
0719-11384	3a	100.0	HCV	0.9339062	r3842150.nex	r348842.log	r6501996.tre
5665-11245	3a	100.0	HCV	0.9300944	r8757337.nex	r3485338.log	r4622055.tre
3314-11301	3a	100.0	HCV	0.9438965	r4492857.nex	r9946173.log	r7632674.tre
5868-11502	3a	100.0	HCV	0.92826015	r8692713.nex	r9130678.log	r2840080.tre
3312-11436	3a	100.0	HCV	0.93450856	r7514216.nex	r1339301.log	r6846468.tre
2074-11481	3a	100.0	HCV	0.93846804	r9006123.nex	r8012040.log	r611016.tre
0071-11400	2b	100.0	HCV	0.7692961	r4275079.nex	r1983840.log	r8018502.tre
1657-11315	3a	100.0	HCV	0.92923075	r4917423.nex	r510825.log	r7835006.tre
2080-11591	2a	100.0	HCV	0.7746166	r4282947.nex	r9894185.log	r4623666.tre
3078-11600	2c	100.0	HCV	0.78367823	r5871352.nex	r3421042.log	r489113.tre
5283-11260	3a	100.0	HCV	0.91721505	r9623250.nex	r4397078.log	r523287.tre
5278-11332	3a	100.0	HCV	0.93380713	r9562099.nex	r6661272.log	r5406837.tre
3314-11209	3a	100.0	HCV	0.937699	r6051524.nex	r1763021.log	r5403834.tre
0518-11334	3a	100.0	HCV	0.93061006	r4712618.nex	r9884950.log	r3650819.tre
3078-11022	3a	100.0	HCV	0.9279743	r3652265.nex	r6371410.log	r5085597.tre
5367-11530	2m	100.0	HCV	0.7780709	r4062825.nex	r4725014.log	r2764869.tre
3314-11250	3a	100.0	HCV	0.93762183	r3931357.nex	r4967327.log	r2017692.tre
0532-11531	3a	100.0	HCV	0.92982084	r177034.nex	r5797675.log	r9455386.tre
8673-11524	3a	100.0	HCV	0.9324971	r318754.nex	r9924411.log	r3756420.tre
0518-11273	3g	100.0	HCV	0.7907817	r8490834.nex	r4547695.log	r7590730.tre
1126-11473	3a	100.0	HCV	0.9266999	r8341994.nex	r4553696.log	r8932594.tre
2127-11239	3a	100.0	HCV	0.93204707	r3358161.nex	r3342548.log	r8900302.tre
0454-11483	3a	100.0	HCV	0.9385872	r8050639.nex	r7800835.log	r1589316.tre
1126-11432	3a	100.0	HCV	0.93075293	r8701169.nex	r4058107.log	r2326723.tre
5278-11593	3a	100.0	HCV	0.93575746	r9831749.nex	r9155785.log	r7348251.tre
6876-11233	3a	100.0	HCV	0.93531966	r8773177.nex	r1730167.log	r1902255.tre
5367-11564	3a	100.0	HCV	0.9112125	r606046.nex	r5355439.log	r3766348.tre
5283-11448	3a	100.0	HCV	0.9266483	r1176615.nex	r3004291.log	r6395737.tre
3314-11251	3a	100.0	HCV	0.92949533	r7925871.nex	r5180325.log	r3697277.tre
0310-11221	3a	100.0	HCV	0.92785144	r1885518.nex	r4275092.log	r8263895.tre
8673-11472	3a	100.0	HCV	0.91395223	r6945934.nex	r5114617.log	r4286640.tre
0451-11322	3a	100.0	HCV	0.930304	r4951382.nex	r1082544.log	r5939820.tre
2080-11533	3a	100.0	HCV	0.9272843	r9186037.nex	r8231116.log	r6315870.tre
2474-11464	3a	100.0	HCV	0.93030655	r761557.nex	r8888728.log	r5844176.tre
2474-11543	3a	100.0	HCV	0.9214187	r1875516.nex	r8850514.log	r3468231.tre
0500-11580	3a	100.0	HCV	0.93276685	r204074.nex	r3498570.log	r7197719.tre
5367-11509	2b	100.0	HCV	0.77072555	r4229393.nex	r2371271.log	r9317533.tre
6876-11234	3a	100.0	HCV	0.93638676	r5498707.nex	r4661426.log	r9576978.tre
1657-11262	2a	100.0	HCV	0.77842414	r8867730.nex	r331382.log	r625218.tre
1119-11550	3a	100.0	HCV	0.9313455	r5502050.nex	r8689478.log	r5862380.tre
6823-11462	3a	100.0	HCV	0.92799574	r6707334.nex	r5997834.log	r9157797.tre
6823-11583	3a	100.0	HCV	0.93506634	r6298665.nex	r9990047.log	r9797173.tre
5278-11546	3a	100.0	HCV	0.9446389	r5827732.nex	r2429512.log	r4581029.tre
0500-11463	3a	100.0	HCV	0.93708223	r259385.nex	r9312272.log	r667632.tre
5278-11355	3a	100.0	HCV	0.9157023	r5183646.nex	r8464204.log	r8020521.tre
6876-11555	3a	100.0	HCV	0.9433461	r5483350.nex	r177915.log	r7835276.tre
2029-11596	3a	100.0	HCV	0.94914716	r3590605.nex	r4973156.log	r8164971.tre
3314-11300	3a	100.0	HCV	0.9409019	r5738199.nex	r8668945.log	r5048941.tre
5278-11386	3a	100.0	HCV	0.932514	r1478618.nex	r4134626.log	r8986382.tre
4001-11371	2b	100.0	HCV	0.7716278	r362403.nex	r4592327.log	r1031233.tre
1126-11597	3a	100.0	HCV	0.9430272	r5665134.nex	r4621431.log	r3513038.tre
3314-11210	3a	100.0	HCV	0.9389791	r6878196.nex	r490235.log	r6006376.tre
2074-11422	3a	100.0	HCV	0.93430114	r6360144.nex	r291341.log	r961776.tre
3314-11266	3a	100.0	HCV	0.9408146	r2659955.nex	r5310435.log	r8194879.tre
0452-11323	3a	100.0	HCV	0.9273151	r6144750.nex	r5121276.log	r2855296.tre
1126-11554	3a	100.0	HCV	0.93369406	r8381863.nex	r439550.log	r4268573.tre
2474-11541	3a	100.0	HCV	0.9299194	r5464835.nex	r2238829.log	r6551417.tre
2456-11357	2b	100.0	HCV	0.7702389	r6194691.nex	r717588.log	r105062.tre
9700-11291	3a	100.0	HCV	0.9273518	r802421.nex	r5573102.log	r4520982.tre
9700-11248	3a	100.0	HCV	0.93402743	r1812816.nex	r2825527.log	r4514737.tre
3312-11435	3a	100.0	HCV	0.93581295	r5021569.nex	r3060881.log	r3450496.tre
3314-11326	3a	100.0	HCV	0.9392107	r7681073.nex	r8742851.log	r7891331.tre
1657-11459	2b	100.0	HCV	0.7621402	r4169472.nex	r5786879.log	r6128783.tre
5367-11532	3a	100.0	HCV	0.9344454	r5982387.nex	r5826146.log	r8757397.tre
5278-11437	3a	100.0	HCV	0.9291313	r8326890.nex	r6785082.log	r9512354.tre
5730-11439	3a	100.0	HCV	0.9389895	r5880906.nex	r5324684.log	r5081618.tre
0451-11429	3a	100.0	HCV	0.91895974	r2869039.nex	r1452941.log	r6353601.tre
4323-11514	2b	100.0	HCV	0.76670897	r604616.nex	r3029265.log	r21838.tre
0454-11406	3a	100.0	HCV	0.92845756	r9986114.nex	r2195612.log	r3415183.tre
5868-11575	3a	100.0	HCV	0.93367344	r1883261.nex	r4295426.log	r6726218.tre
0500-11480	3a	100.0	HCV	0.9316737	r2633033.nex	r7681909.log	r3272411.tre
2080-11582	3a	100.0	HCV	0.9335527	r3092392.nex	r8283908.log	r7178841.tre
5367-11594	3a	100.0	HCV	0.9314589	r5685943.nex	r209099.log	r6806357.tre
3314-11331	2c	100.0	HCV	0.7811872	r8027104.nex	r5156456.log	r1322874.tre
5278-11592	3a	100.0	HCV	0.9326964	r3277227.nex	r7485687.log	r1090683.tre
0719-11356	3a	100.0	HCV	0.937195	r447555.nex	r4733566.log	r5195560.tre
3312-11516	3a	100.0	HCV	0.92982084	r703855.nex	r589590.log	r9945582.tre
0719-11359	3a	100.0	HCV	0.9397603	r4904796.nex	r5186589.log	r8269713.tre
4472-11309	3a	100.0	HCV	0.9276023	r2442259.nex	r1976564.log	r8037139.tre
4472-11508	3a	100.0	HCV	0.9278591	r2465360.nex	r7467265.log	r8165074.tre
4472-11560	3g	100.0	HCV	0.7936996	r486475.nex	r3827512.log	r1198108.tre
4472-11495	3a	100.0	HCV	0.91412216	r4995961.nex	r1984479.log	r5262233.tre
4472-11498	3a	100.0	HCV	0.9282915	r5129052.nex	r1454052.log	r6388456.tre
8815-11129	3a	100.0	HCV	0.93515176	r8928787.nex	r2476064.log	r5258349.tre
4472-11499	3a	100.0	HCV	0.9272206	r1443606.nex	r1243868.log	r1246849.tre
8359-11341	3a	100.0	HCV	0.92931545	r7780069.nex	r1891508.log	r6427484.tre
8669-11279	3a	100.0	HCV	0.93090254	r1965362.nex	r1129137.log	r946847.tre
8451-11528	3a	100.0	HCV	0.9383569	r2110743.nex	r2542121.log	r2213052.tre
1469-11522	3a	100.0	HCV	0.9149613	r9606532.nex	r804696.log	r5597321.tre
1122-11496	3a	100.0	HCV	0.93569237	r4662358.nex	r8774821.log	r3053054.tre
8359-11218	3a	100.0	HCV	0.93272173	r4735867.nex	r2003234.log	r4842298.tre
8451-11455	3a	100.0	HCV	0.9310272	r6732284.nex	r3314435.log	r3131863.tre
4472-11311	3a	100.0	HCV	0.92905694	r8988673.nex	r7742170.log	r3841887.tre
2075-11515	3a	100.0	HCV	0.9297947	r2721608.nex	r6370901.log	r4520428.tre
1122-11316	3a	100.0	HCV	0.91518426	r2991398.nex	r6374182.log	r1267541.tre
8667-11069	3a	100.0	HCV	0.9263693	r2542578.nex	r139784.log	r9208622.tre
4001-11100	3a	100.0	HCV	0.9337798	r363610.nex	r7877544.log	r1229888.tre
4322-11035	3a	100.0	HCV	0.93317777	r4149563.nex	r5798261.log	r7491704.tre
5868-11141	2b	100.0	HCV	0.7678496	r523640.nex	r8584219.log	r6677690.tre
6214-11014	3a	100.0	HCV	0.933305	r9891398.nex	r8219362.log	r2533882.tre
3078-11063	3b	100.0	HCV	0.79520375	r4739969.nex	r7527481.log	r7357792.tre
3775-11434	3a	100.0	HCV	0.9433521	r3300650.nex	r7943524.log	r6525663.tre
3078-11120	3a	100.0	HCV	0.91039526	r5149816.nex	r4954939.log	r5097790.tre
8812-11338	3a	100.0	HCV	0.9237182	r6057497.nex	r5351075.log	r4352101.tre
8812-11306	3a	100.0	HCV	0.930373	r4064597.nex	r7049102.log	r8248606.tre
