sequenceID	genotype	subtype	gb_isolate	gb_country_short	gb_place_sampled	gb_collection_year	gb_collection_month	gb_collection_month_day	gb_lab_construct	gb_host	gb_pubmed_id
AB301813	6	q	TV228	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301814	6	-	VT887	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301815	6	e	TV46	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301816	6	e	TV47	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301817	6	e	TV49	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301818	6	e	TV52	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301820	6	e	TV60	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301822	6	e	TV69	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301823	6	e	TV223	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301824	6	e	TV232	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301825	6	e	TV233	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301826	6	e	TV238	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301827	6	e	TV240	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301828	6	t	TV241	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301829	6	e	TV244	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301830	6	e	TV247	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301831	6	t	TV249	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301832	6	e	TV262	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301833	6	e	TV270	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301834	6	e	TV280	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301835	6	e	TV281	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301836	6	e	TV292	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301837	6	e	TV295	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301838	6	e	TV310	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301839	6	e	TV311	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301840	6	e	TV318	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301841	6	e	TV333	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301842	6	e	TV357	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301843	6	t	VT21	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301844	6	e	VT24	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301845	6	e	VT886	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301846	6	e	VT897	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301847	6	e	VT898	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301848	6	-	TV257	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301849	6	l	TV55	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301850	6	l	TV71	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301851	6	l	TV317	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301852	6	l	VT681	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301853	6	o	TV48	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301854	6	o	VT316	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301855	6	p	TV38	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB301856	6	p	TV314	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306327	6	a	TV364	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306328	6	e	TV366	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306336	6	e	TV376	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306341	6	e	TV382	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306342	6	a	TV384	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306344	6	o	TV389	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306346	6	l	TV392	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306347	6	a	TV394	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306348	6	e	TV395	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306349	6	s	TV396	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306353	6	p	TV401	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306354	6	o	TV402	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306358	6	r	TV406	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306359	6	h	TV407	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306361	6	a	TV409	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306362	6	a	TV411	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306363	6	h	TV412	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306364	6	l	TV414	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306366	6	a	TV416	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306368	6	e	TV418	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306370	6	a	TV420	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306371	6	e	TV421	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306375	6	a	TV426	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306378	6	e	TV429	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306379	6	a	TV430	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306380	6	-	TV431	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306381	6	a	TV432	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306383	6	e	TV434	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306384	6	a	TV435	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306386	6	a	TV438	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306387	6	a	TV439	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306389	6	e	TV441	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306390	6	e	TV442	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306391	6	xc	TV443	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306396	6	a	TV449	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306397	6	a	TV450	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306400	6	-	TV453	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306403	6	e	TV456	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB306405	6	l	TV459	Vietnam	Ho Chi Minh City	-	-	-	false	-	-
AB522973	6	a	HPA002	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522974	6	e	HPA004	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522975	6	a	HPA005	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522977	6	a	HPA014	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522980	6	e	HPA018	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522983	6	a	HPA026	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522987	6	a	HPA030	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522988	6	a	HPA032	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522989	6	h	HPA033	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522990	6	a	HPA035	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522991	6	e	HPA036	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522992	6	a	HPA038	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522994	6	a	HPA043	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522997	6	l	HPA062	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB522999	6	e	HPA067	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523001	6	a	HPA070	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523002	6	a	HPA071	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523008	6	a	HPA081	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523011	6	a	HPA085	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523015	6	a	HPA105	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523017	6	a	HPA109	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523018	6	a	HPA111	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523019	6	a	HPA113	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523020	6	a	HPA117	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523022	6	e	HPA121	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523026	6	a	HPA131	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523027	6	a	HPA132	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523029	6	a	HPA136	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523030	6	a	HPA140	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523032	6	e	HPA145	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523034	6	a	HPA147	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523036	6	l	HPA154	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523043	6	a	HPA172	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523044	6	a	HPA173	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523046	6	a	HPA175	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523050	6	a	HPA181	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523051	6	a	HPA182	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523054	6	a	HPA187	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523055	6	a	HPA189	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523056	6	e	HPA191	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523067	6	e	HPA231	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523069	6	a	HPA234	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523070	6	a	HPA248	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523071	6	a	HPA251	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523072	6	e	HPA252	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523073	6	a	HPA253	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523075	6	a	HPA256	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523077	6	a	HPA259	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523080	6	e	HPA275	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523081	6	a	HPA279	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523088	6	h	HPA299	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523089	6	a	HPA300	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523090	6	a	HPA301	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523091	6	a	HPA302	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523095	6	e	HPA310	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523099	6	a	HPA314	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523100	6	a	HPA315	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523101	6	a	HPA316	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523105	6	a	HPA325	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523106	6	a	HPA330	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523107	6	a	HPA332	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523112	6	e	HPA344	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523113	6	a	HPA345	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523117	6	a	HPA349	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523118	6	h	HPA351	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523119	6	a	HPA352	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523123	6	a	HPA361	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523125	6	a	HPA364	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523126	6	a	HPA365	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523127	6	a	HPA368	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523128	6	a	HPA371	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523130	6	a	HPA381	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523131	6	e	HPA383	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523132	6	a	HPA385	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523133	6	e	HPA388	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523134	6	e	HPA389	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523135	6	e	HPA390	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523136	6	e	HPA392	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523137	6	a	HPA394	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523138	6	e	HPA396	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523139	6	e	HPA398	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523142	6	e	HPA406	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523143	6	e	HPA410	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523144	6	a	HPA411	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523145	6	a	HPA414	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523146	6	a	HPA415	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523147	6	e	HPA416	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523148	6	e	HPA417	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523150	6	a	HPA422	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523151	6	e	HPA423	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523153	6	e	HPA439	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523158	6	a	HPA472	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523159	6	a	HPA479	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523161	6	e	HPA491	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523163	6	e	HPA495	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB523165	6	e	HPA499	Vietnam	Hai Phong	2007	-	-	false	Homo sapiens	20572071
AB989307	6	r	C576	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989308	6	e	C577	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989310	6	xc	C579	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989311	6	a	C581	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989312	6	e	C582	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989313	6	r	C583	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989317	6	e	C587	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989318	6	e	C588	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989319	6	q	C589	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989320	6	e	C590	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989322	6	xc	C593	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989325	6	e	C596	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989331	6	p	C602	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989332	6	p	C603	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989339	6	e	C612	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989340	6	e	C613	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989341	6	e	C614	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989342	6	xc	C615	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989344	6	-	C618	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989345	6	q	C619	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989351	6	r	C625	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989352	6	s	C626	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989354	6	e	C629	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989355	6	e	C630	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989356	6	e	C631	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989358	6	e	C633	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989359	6	-	C634	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989360	6	e	C635	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989362	6	xc	C637	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989363	6	e	C638	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989364	6	r	C639	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989365	6	-	C640	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989367	6	e	C643	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989368	6	e	C644	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989371	6	e	C647	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989375	6	e	C651	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989377	6	e	C658	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989378	6	e	C660	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989380	6	e	C663	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989381	6	e	C664	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989382	6	e	C665	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989383	6	e	C666	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989386	6	a	C669	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989388	6	q	C671	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989389	6	e	C672	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989392	6	e	C676	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989393	6	a	C677	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989398	6	e	C682	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989401	6	xc	C686	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989402	6	p	C687	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989406	6	e	C694	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989407	6	e	C695	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989409	6	r	C697	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989412	6	a	C700	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989415	6	r	C704	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989416	6	e	C705	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989418	6	e	C707	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989419	6	a	C708	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989420	6	e	C709	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989425	6	e	C714	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989426	6	-	C715	Cambodia	-	2013	-	-	false	Homo sapiens	-
AB989430	6	e	C720	Cambodia	-	2013	-	-	false	Homo sapiens	-
AH004916	6	o	QC30	-	-	-	-	-	false	Homo sapiens	8897188
AY231583	6	b	NB56	-	-	-	-	-	false	-	15572005
AY434111	6	s	-	-	-	-	-	-	false	-	17287328
AY545973	6	a	-	-	-	-	-	-	false	-	15280458
AY545974	6	a	-	-	-	-	-	-	false	-	15280458
AY545975	6	a	-	-	-	-	-	-	false	-	15280458
AY545976	6	a	-	-	-	-	-	-	false	-	15280458
AY545977	6	a	-	-	-	-	-	-	false	-	15280458
AY545978	6	a	-	-	-	-	-	-	false	-	15280458
AY545979	6	a	-	-	-	-	-	-	false	-	15280458
AY545980	6	a	-	-	-	-	-	-	false	-	15280458
AY732110	6	e	99CHNGX004	China	-	-	-	-	false	-	-
AY732189	6	a	99CHNGDM3	China	-	-	-	-	false	-	-
AY732191	6	a	00CHNGEM9	China	-	-	-	-	false	-	-
AY732192	6	a	00CHN78GD9	China	-	-	-	-	false	-	-
AY732194	6	g	02CHNHK6554	China	-	-	-	-	false	-	-
AY732195	6	a	02CHNHK6555	China	-	-	-	-	false	-	-
AY732198	6	a	02CHNHK6562	China	-	-	-	-	false	-	-
AY732206	6	a	02CHNHK6577	China	-	-	-	-	false	-	-
AY859526	6	a	-	Hong Kong	-	-	-	-	false	-	20624431
AY878650	6	-	KM45	China	Kunming	-	-	-	false	-	15847930
AY878651	6	-	KM41	China	Kunming	-	-	-	false	-	-
AY878652	6	n	KM42	China	Kunming	-	-	-	false	-	-
AY973865	6	a	cs6a-16	Hong Kong	-	-	-	-	false	-	15855532
AY973866	6	a	cs6a-18	Hong Kong	-	-	-	-	false	-	15855532
CS479734	6	-	-	-	-	-	-	-	true	-	-
CS541268	6	a	-	-	-	-	-	-	true	-	-
D30797	6	e	VN998	-	-	-	-	-	false	-	7972001
D31971	6	e	VN998	-	-	-	-	-	false	-	7972001
D37841	6	b	Th580	-	-	-	-	-	false	-	7561773
D37842	6	-	ThKL24	-	-	-	-	-	false	-	-
D37843	6	c	Th846	-	-	-	-	-	false	-	7561773
D37844	6	f	Th271	-	-	-	-	-	false	-	7561773
D37845	6	f	Th552	-	-	-	-	-	false	-	7561773
D37846	6	f	Th976	-	-	-	-	-	false	-	7561773
D37847	6	f	ThK248	-	-	-	-	-	false	-	-
D37848	6	j	Th553	-	-	-	-	-	false	-	7561773
D37849	6	i	Th555	-	-	-	-	-	false	-	7561773
D37850	6	i	Th602	-	-	-	-	-	false	-	7561773
D37851	6	i	ThKF68	-	-	-	-	-	false	-	-
D37855	6	b	Th580	-	-	-	-	-	false	-	7561773
D37856	6	-	ThKL24	-	-	-	-	-	false	-	-
D37857	6	c	Th846	-	-	-	-	-	false	-	7561773
D37858	6	f	Th271	-	-	-	-	-	false	-	7561773
D37859	6	f	Th552	-	-	-	-	-	false	-	7561773
D37860	6	f	Th976	-	-	-	-	-	false	-	7561773
D37861	6	f	ThK248	-	-	-	-	-	false	-	-
D37862	6	j	Th553	-	-	-	-	-	false	-	7561773
D37863	6	i	Th555	-	-	-	-	-	false	-	7561773
