sequenceID	gb_isolate	gb_country_short_corrected	gb_place_sampled_corrected	gb_collection_year_corrected	gb_lab_construct_corrected	gb_host_corrected	gb_pubmed_id_corrected
AB523072							
AB523073							
AB523075							
AB523077							
AB523080							
AB523081							
AB523088							
AB523089							
AB523090							
AB523091							
AB523095							
AB523099							
AB523100							
AB523101							
AB523105							
AB523106							
AB523107							
AB523112							
AB523113							
AB523117							
AB523118							
AB523119							
AB523123							
AB523125							
AB523126							
AB523127							
AB523128							
AB523130							
AB523131							
AB523132							
AB523133							
AB523134							
AB523135							
AB523136							
AB523137							
AB523138							
AB523139							
AB523142							
AB523143							
AB523144							
AB523145							
AB523146							
AB523147							
AB523148							
AB523150							
AB523151							
AB523153							
AB523158							
AB523159							
AB523161							
AB523163							
AB523165							
AB989307							
AB989308							
AB989310							
AB989311							
AB989312							
AB989313							
AB989317							
AB989318							
AB989319							
AB989320							
AB989322							
AB989325							
AB989331							
AB989332							
AB989339							
AB989340							
AB989341							
AB989342							
AB989344							
AB989345							
AB989351							
AB989352							
AB989354							
AB989355							
AB989356							
AB989358							
AB989359							
AB989360							
AB989362							
AB989363							
AB989364							
AB989365							
AB989367							
AB989368							
AB989371							
AB989375							
AB989377							
AB989378							
AB989380							
AB989381							
AB989382							
AB989383							
AB989386							
AB989388							
AB989389							
AB989392							
AB989393							
AB989398							
AB989401							
AB989402							
AB989406							
AB989407							
AB989409							
AB989412							
AB989415							
AB989416							
AB989418							
AB989419							
AB989420							
AB989425							
AB989426							
AB989430							
AH004916							
AY231583							
AY434111							
AY545973					TURE		
AY545974					TURE		
AY545975					TURE		
AY545976					TURE		
AY545977					TURE		
AY545978					TURE		
AY545979					TURE		
AY545980					TURE		
AY732110							
AY732189							
AY732191							
AY732192							
AY732194							
AY732195							
AY732198							
AY732206							
AY859526							
AY878650							
AY878651							
AY878652							
AY973865							
AY973866							
CS479734							
CS541268							
D30797							
D31971							
D37841							
D37842							
D37843							
D37844							
D37845							
D37846							
D37847							
D37848							
D37849							
D37850							
D37851							
D37855							
D37856							
D37857							
D37858							
D37859							
D37860							
D37861							
D37862							
D37863							
D37864							
D37865							
D37866							
D37867							
D38078							
D38079							
D49748							
D49751							
D49758							
D49763							
D49766							
D49779							
D63822							
D63943							
D63946							
D84262							
D84263							
D84264							
D84265							
D87352							
D87353							
D87354							
D87355							
D87356							
D87357							
D87358							
D87359							
D87360							
D87361							
D87362							
D87363							
D87364							
D87365							
D88465							
D88466							
D88467							
D88468							
D88469							
D88470							
D88471							
D88472							
D88473							
D88474							
D88475							
D88476							
D88477							
D88478							
DQ155445							
DQ155450							
DQ155451							
DQ155452							
DQ155453							
DQ155457							
DQ155461							
DQ155463							
DQ155465							
DQ155467							
DQ155468							
DQ155469							
DQ155472							
DQ155474							
DQ155475							
DQ155479							
DQ155483							
DQ155484							
DQ155487							
DQ155490							
DQ155491							
DQ155493							
DQ155494							
DQ155496							
DQ155499							
DQ155501							
DQ155560							
DQ155566							
DQ278891							
DQ278892							
DQ278893							
DQ278894							
DQ314805							
DQ314806			HK				
DQ480512							
DQ480513							
DQ480514							
DQ480515							
DQ480516							
DQ480517							
DQ480518							
DQ480519							
DQ480520							
DQ480521							
DQ480522							
DQ480523							
DQ480524							
DQ525424							
DQ525425							
DQ525426							
DQ525427							
DQ525428							
DQ525429							
DQ525430							
DQ525431							
DQ525432							
DQ525433							
DQ525434							
DQ640338							
DQ640339							
DQ640340							
DQ640341							
DQ640342							
DQ640343							
DQ640344							
DQ640345							
DQ640346							
DQ640360							
DQ640361							
DQ777779							
DQ777780							
DQ777797							
DQ777798							
DQ777799							
DQ835760							
DQ835761							
DQ835762							
DQ835763							
DQ835764							
DQ835765							
DQ835766							
DQ835767							
DQ835768							
DQ835769							
DQ835770							
DQ859953							
DQ859971							
EF420130							
EF420131							
EF420132							
EF420133							
EF420134							
EF424625							
EF424626							
EF424627							
EF424628							
EF424629							
EF523601							
EF632069							
EF632070							
EF632071							
EU081306							
EU081307							
EU081308							
EU081309							
EU081310							
EU081311							
EU081322							
EU081323							
EU081324							
EU081325							
EU081326							
EU081329							
EU081330							
EU081331							
EU081332							
EU081333							
EU081334							
EU081335							
EU081336							
EU081337							
EU081338							
EU081339							
EU081340							
EU081341							
EU081342							
EU081343							
EU081344							
EU081345							
EU081346							
EU081347							
EU081348							
EU081349							
EU081350							
EU081351							
EU081352							
EU081353							
EU081354							
EU081355							
EU081356							
EU081357							
EU081358							
EU081359							
EU081376							
EU081386							
EU081392							
EU081396							
EU081398							
EU081399							
EU081406							
EU081422							
EU081426							
EU081427							
EU081428							
EU081431							
EU081433							
EU081435							
EU081438							
EU081439							
EU081443							
EU081453							
EU081463							
EU081465							
EU081466							
EU081473							
EU081489							
EU081493							
EU081494							
EU081495							
EU081498							
EU081500							
EU081502							
EU081505							
EU081506							
EU119968							
EU119969							
EU119970							
EU119971							
EU119972							
EU119973							
EU119974							
EU119975							
EU119976							
EU119977							
EU119978							
EU119979							
EU119980							
EU119981							
EU119982							
EU119983							
EU158186							
EU246930							
EU246931							
EU246932							
EU246933							
EU246934							
EU246935							
EU246936							
EU246937							
EU246938							
EU246939							
EU246940							
EU408326							
EU408327							
EU408328							
EU408329							
EU408330							
EU408331							
EU408332							
EU643834							
EU643835							
EU643836							
EU798760							
EU798761							
FJ435090							
FJ462949							
FJ462960							
FJ462962							
FJ462963							
FJ462965							
FJ462966							
FJ462974							
FJ462984							
FJ462986							
FJ462989							
FJ462990							
FJ462991							
FJ462992							
FJ462994							
FJ463002							
FJ463005							
FJ463006							
FJ463009							
FJ463013							
FJ463014							
FJ463015							
FJ463028							
FJ463029							
FJ463030							
FJ469163							
FJ469164							
FJ469165							
FJ469166							
FJ469167							
FJ469168							
FJ469169							
FJ469170							
FJ469171							
FJ469172							
FJ469173							
FJ469174							
FJ469175							
FJ469176							
FJ469177							
FJ469178							
FJ469179							
FJ469180							
FJ469181							
FJ469182							
FJ469183							
FJ469184							
FJ469185							
FJ469186							
FJ469187							
FJ469188							
FJ469189							
FJ469190							
FJ469191							
FJ469192							
FJ469193							
FJ469194							
FJ469195							
FJ469196							
FJ469197							
FJ469198							
FJ469199							
FJ469200							
FJ469201							
FJ469202							
FJ469203							
FJ469204							
FJ469205							
FJ469206							
FJ469207							
FJ469208							
FJ469209							
FJ469210							
FJ469211							
FJ469212							
FJ469213							
FJ469214							
FJ469215							
FJ469216							
FJ469217							
FJ469218							
FJ469219							
FJ469220							
FJ469221							
FJ469222							
FJ469223							
FJ469224							
FJ469225							
FJ469226							
FJ469227							
FJ469228							
FJ469229							
FJ469230							
FJ469231							
FJ469232							
FJ469233							
FJ469234							
FJ469235							
FJ469236							
FJ469237							
FJ469238							
FJ469239							
FJ469240							
FJ469241							
FJ469242							
FJ469243							
FJ469244							
FJ469245							
FJ469246							
FJ469247							
FJ469248							
FJ469249							
FJ469250							
FJ469251							
FJ469252							
FJ469253							
FJ469254							
FJ469255							
FJ469256							
FJ469257							
FJ469258							
FJ469259							
FJ469260							
FJ469261							
FJ469262							
FJ469263							
FJ469264							
FJ469265							
FJ469266							
FJ469267							
FJ469268							
FJ469269							
FJ469270							
FJ469271							
FJ469272							
FJ469273							
FJ469274							
FJ469275							
FJ515008							
FJ515016							
FJ515017							
FJ515021							
FJ515029							
FJ515040							
FJ515042							
FJ515043							
FJ515046							
FJ515047							
FJ515057							
FJ515064							
FJ515070							
FJ515071							
FJ515078							
FJ515089							
FJ515090							
FJ515092							
FJ515107							
FJ515111							
FJ515113							
FJ515114							
FJ515127							
FJ515129							
FJ515130							
FJ515139							
FJ515144							
FJ515146							
FJ515147							
FJ515148							
FJ515149							
FJ515153							
FJ515157							
FJ859264							
FJ859265							
FJ859266							
FJ859267							
FJ859268							
FJ859269							
FJ859270							
FJ859271							
FJ859272							
FJ859273							
FJ859274							
FJ859275							
FJ859276							
FJ859277							
FJ859278							
FJ859279							
FJ859280							
FJ859281							
FJ859282							
FJ859284							
FJ859285							
FJ859286							
FJ859287							
FJ859288							
FJ859289							
FJ859290							
FJ859292							
FJ859293							
FJ859294							
FJ859295							
FJ859296							
FJ859297							
FJ859298							
FJ859299							
FJ859300							
FJ859303							
FJ859304							
FJ859305							
FJ859306							
FJ859307							
FJ859308							
FJ859309							
FJ859310							
FJ859311							
FJ859312							
FJ859313							
FJ859314							
FJ859315							
FJ859316							
FJ859319							
FJ859323							
FJ859324							
FJ859325							
FJ859326							
FJ859327							
FJ859328							
FJ859329							
FJ859330							
FJ859331							
FJ859332							
FJ859333							
FJ859334							
GQ205856							
GQ205857							
GQ205858							
GQ205859							
GQ205860							
GQ205861							
GQ205862							
GQ205863							
GQ205864							
GQ205865							
GQ205866							
GQ205867							
GQ205868							
GQ205869							
GQ205870							
GQ205871							
GQ205872							
GQ205873							
GQ205874							
GQ205875							
GQ205876							
GQ205877							
GQ205878							
GQ205879							
GQ205880							
GQ205881							
GQ205882							
GQ205883							
GQ205884							
GQ205885							
GQ205886							
GQ205887							
GQ205888							
GQ205889							
GQ205890							
GQ205891							
GQ205892							
GQ205893							
GQ205894							
GQ205895							
GQ205896							
GQ205897							
GQ205898							
GQ205899							
GQ205900							
GQ205901							
GQ205902							
GQ205903							
GQ205904							
GQ205905							
GQ205906							
GQ205907							
GQ205908							
GQ205909							
GQ205910							
GQ205911							
GQ205912							
GQ205913							
GQ205914							
GQ205915							
GQ205916							
GQ205917							
GQ205918							
GQ205919							
GQ205920							
GQ205921							
GQ205922							
GQ205923							
GQ205924							
GQ205925							
GQ205926							
GQ205927							
GQ205928							
GQ205929							
GQ205930							
GQ205931							
GQ205932							
GQ205933							
GQ205934							
GQ206048							
GQ206061							
GQ206083							
GQ285041							
GQ285042							
GQ285043							
GQ285044							
GQ285045							
GU085488							
GU186925							
GU186933							
GU186937							
GU945430					TURE		
GU945433					TURE		
GU945452					TURE		
GU945453					TURE		
HC186783							
HC186784							
HC186810							
HC186812							
HC186813							
HC186814							
HC186815							
HC186820							
HC186838							
HC494119							
HC494120							
HC494146							
HC494148							
HC494149							
HC494150							
HC494151							
HC494156							
HC494174							
HE580284							
HE580285							
HE580286							
HE580287							
HE580288							
HE580289							
HE580295							
HE580296							
HE580297							
HE580298							
HE580299							
HE580300							
HE580301							
HE580302							
HE580303							
HE580304							
HE580305							
HE580306							
HE580307							
HE580308							
HE580309							
HE580310							
HE580311							
HE580312							
HE580313							
HE580314							
HE580315							
HE580316							
HE580318							
HE580319							
HE580320							
HE580321							
HE580322							
HE580323							
HE580324							
HE580325							
HE580326							
HE580339							
HE580340							
HE580341							
HE580342							
HE580343							
HE580344							
HE580345							
HE580346							
HE580347							
HE580348							
HE580349							
HE580350							
HE580351							
HE580352							
HE580353							
HM042025							
HM042026							
HM042027							
HM042028							
HM042029							
HM042030							
HM042031							
HM042032							
HM042033							
HM042034							
HM042035							
HM042036							
HM042037							
HM042085							
HM042086							
HM042087							
HM042088							
HM042089							
HM042090							
HM042091							
HM042092							
HM042093							
HM042094							
HM042095							
HM042096							
HQ229361							
HQ229450							
HQ318826							
HQ318827							
HQ318828							
HQ318844							
HQ318854							
HQ318856							
HQ318914							
HQ318915							
HQ318916							
HQ318917							
HQ318918							
HQ318919							
HQ318920							
HQ318921							
HQ318922							
HQ318923							
HQ318924							
HQ318925							
HQ318926							
HQ318927							
HQ450380							
HQ639936							
HQ912954							
HQ912955							
HW467945							
JA212568							
JA212569							
JE984233							
JF720958							
JF720959							
JF720960							
JF720961							
JF720962							
JF720963							
JF720964							
JF720965							
JF720966							
JF720967							
JF720968							
JF720969							
JF720970							
JF720971							
JF720972							
JF720973							
JF720974							
JF720975							
JF720976							
JF720977							
JF720978							
JF720979							
JF720980							
JF720981							
JF720982							
JF720983							
JF720984							
JF720985							
JF720986							
JF720987							
JF720988							
JF720989							
JF720990							
JF720991							
JF720992							
JF720993							
JF720994							
JF720995							
JF720996							
JF720997							
JF720998							
JF720999							
JF721000							
JF721001							
JF721002							
JF721003							
JF721004							
JF721005							
JF721006							
JF721007							
JF721008							
JF721009							
JF721010							
JF721011							
JF721012							
JF721013							
JF721014							
JF721015							
JF721016							
JF721017							
JF721018							
JF721019							
JF721020							
JF721021							
JF721022							
JF721023							
JF721024							
JF721025							
JF721026							
JF721027							
JF721028							
JF721029							
JF721030							
JF721031							
JF721032							
JF721033							
JF721034							
JF721035							
JF721036							
JF721037							
JF721038							
JF721039							
JF721040							
JF721041							
JF721042							
JF721043							
JF721044							
JF721045							
JF721046							
JF721047							
JF721048							
JF721049							
JF721050							
JF721051							
JF721052							
JF721053							
JF721054							
JF721055							
JF721056							
JF721057							
JF721058							
JF721059							
JF721060							
JF721061							
JF721062							
JF721063							
JF721064							
JF721065							
JF721066							
JF721067							
JF721068							
JF721069							
JF721070							
JF721071							
JF721072							
JF721073							
JF721074							
JF721075							
JF721076							
JF721077							
JF721078							
JF721079							
JQ303354							
JQ303355							
JQ303357							
JQ303358							
JQ303362							
JQ303368							
JQ303372							
JQ303375							
JQ303379							
JQ303380							
JQ303381							
JQ303382							
JQ303384							
JQ303385							
JQ303386							
JQ303425							
JQ303428							
JQ303430							
JQ303431							
JQ303433							
JQ303434							
JQ303435							
JQ303436							
JQ303437							
JQ303438							
JQ303439							
JQ303442							
JQ303447							
JQ303453							
JQ303460							
JQ303467							
JQ303469							
JQ303471							
JQ303473							
JQ303476							
JQ303479							
JQ303482							
JQ303495							
JQ303508							
JQ303539							
JQ303540							
JQ303547							
JQ303548							
JQ303549							
JQ303550							
JQ303551							
JQ303552							
JQ303553							
JQ303554							
JQ303555							
JQ303556							
JQ303557							
JQ303558							
JQ303559							
JQ303560							
JQ303561							
JQ303562							
JQ303563							
JQ303564							
JQ303565							
JQ303566							
JQ303567							
JQ303568							
JQ303569							
JQ303570							
JQ303571							
JQ341409							
JX183549							
JX183550							
JX183551							
JX183552							
JX183553							
JX183554							
JX183555							
JX183556							
JX183557							
JX183558							
JX522171							
JX676774							
JX676776							
JX676784							
JX676790							
JX676796							
JX676797							
JX676799							
JX676819							
JX676822							
JX676827							
JX676833							
JX676853							
JX676857							
JX676860							
JX676865							
JX676867							
JX676873							
JX676876							
JX676879							
JX676882							
JX676889							
JX676890							
JX676892							
JX676893							
JX676898							
JX676911							
JX676913							
JX676917							
JX676927							
JX676936							
JX676937							
JX676946							
JX676948							
JX676952							
JX677023							
JX677162							
JX960977							
JX960979							
JX960980							
JX960981							
JX960984							
JX960985							
JX960991							
JX960993							
JX960996							
JX960999							
JX961001							
JX961004							
JX961009							
JX961011							
JX961013							
JX961014							
JX961015							
JX961016							
JX961017							
JX961022							
JX961024							
JX961031							
JX961033							
JX961034							
JX961035							
JX961036							
JX961037							
JX961038							
JX961043							
JX961046							
JX961048							
JX961065							
JX961162							
JX961171							
JX961177							
JX961188							
JX961199							
JX961206							
JX961229							
JX961238							
JX961255							
JX961353							
JX961361							
JX961364							
JX961366							
JX961367							
JX961368							
JX961371							
JX961372							
JX961376							
JX961378							
JX961380							
JX961383							
JX961386							
JX961388							
JX961393							
JX961395							
JX961397							
JX961398							
JX961399							
JX961400							
JX961401							
JX961407							
JX961409							
JX961414							
JX961416							
JX961417							
JX961418							
JX961419							
JX961420							
JX961425							
JX961428							
JX961444							
JX961540							
JX961548							
KC191671							
KC285336							
KC408452							
KC408453							
KC408456							
KC408457							
KC408458							
KC408459							
KC408461							
KC408462							
KC408463							
KC408464							
KC408466							
KC441477							
KC441478							
KC441479							
KC441480							
KC441481							
KC441482							
KC441483							
KC441484							
KC441485							
KC441486							
KC844037							
KC844038							
KC844039							
KC844040							
KC878878							
KC878885							
KC878893							
KC878895							
KC878900							
KC878923							
KC878938							
KC878939							
KC878947							
KC878956							
KC878983							
KC879025							
KC879029							
KF246093							
KF246095							
KF246103							
KF246109							
KF246115							
KF246116							
KF246118							
KF246137							
KF246140							
KF246145							
KF246151							
KF246170							
KF246174							
KF246177							
KF246182							
KF246184							
KF246192							
KF246195							
KF246204							
KF246205							
KF246207							
KF246208							
KF246213							
KF246226							
KF246228							
KF246240							
KF246248							
KF246249							
KF246258							
KF246260							
KF246264							
KF246273							
KF246276							
KF246279							
KF246286							
KF246303							
KF246309							
KF246313							
KF246318							
KF246319							
KF246330							
KF246331							
KF246341							
KF246342							
KF246344							
KF246345							
KF246350							
KF246353							
KF246359							
KF246364							
KF246367							
KF246368							
KF246372							
KF246378							
KF246397							
KF246401							
KF246412							
KF246417							
KF246422							
KF246433							
KF246434							
KF246436							
KF246446							
KF246449							
KF246459							
KF246461							
KF246469							
KF291978							
KF291981							
KF291982							
KF291987							
KF291991							
KF291995							
KF291996							
KF291997							
KF292005							
KF292007							
KF292009							
KF292010							
KF292012							
KF292013							
KF292014							
KF292018							
KF292021							
KF292023							
KF292026							
KF292028							
KF292029							
KF292031							
KF292034							
KF292037							
KF292041							
KF292042							
KF292043							
KF292046							
KF292047							
KF292048							
KF292053							
KF292057							
KF292059							
KF292062							
KF292063							
KF292064							
KF292065							
KF292066							
KF292067							
KF292068							
KF292069							
KF292070							
KF292071							
KF292072							
KF292073							
KF292074							
KF292075							
KF292076							
KF292077							
KF292078							
KF292079							
KF292081							
KF292082							
KF292084							
KF292098							
KF292112							
KF292119							
KF292122							
KF292125							
KF292126							
KF292127							
KF292132							
KF292135							
KF292136							
KF292138							
KF292140							
KF292141							
KF292146							
KF292147							
KF292150							
KF292152							
KF292153							
KF292154							
KF292155							
KF292156							
KF292160							
KF292161							
KF292164							
KF292166							
KF292170							
KF292174							
KF585937							
KF585940							
KF585948							
KF585949							
KF585955							
KF585958							
KF585959							
KF585962							
KF585964							
KF585967							
KF585971							
KF585974							
KF585975							
KF585976							
KF585977							
KF585978							
KF585981							
KF585983							
KF585987							
KF585988							
KF585993							
KF585997							
KF585998							
KF586001							
KF586002							
KF586007							
KF586008							
KF586015							
KF586017							
KF586018							
KF586019							
KF586020							
KF586024							
KF586025							
KF586026							
KF586028							
KF586030							
KF586032							
KF586033							
KF586035							
KF586038							
KF586040							
KF586053							
KF586054							
KF586058							
KF586059							
KF586066							
KF586067							
KF586071							
KF586076							
KF586077							
KF586079							
KF586081							
KF586088							
KF586089							
KF586095							
KF586113							
KF586118							
KF586120							
KF586127							
KF586137							
KF586173							
KF586174							
KF586178							
KF586184							
KF586186							
KF586290							
KF586316							
KF926866							
KF926867							
KF926868							
KF926869							
KF926870							
KF926871							
KF926872							
KF926873							
KF926874							
KF926875							
KF926876							
KF926877							
KF926878							
KF926879							
KF926880							
KF926881							
KF926882							
KF926883							
KF926884							
KF926885							
KF926886							
KF926887							
KF926888							
KF926889							
KF926890							
KF926891							
KF926892							
KF926893							
KF926894							
KF926895							
KF926896							
KF926897							
KF926898							
KF926899							
KF926900							
KF926901							
KF926902							
KF926903							
KF926904							
KF926905							
KF926906							
KF926907							
KF926908							
KF926909							
KF926910							
KF926911							
KF926912							
KF926913							
KF926914							
KF926915							
KF926916							
KF926917							
KF926918							
KF926919							
KF926920							
KF926921							
KF926922							
KF926923							
KF926924							
KF926925							
KF926926							
KF926927							
KF926928							
KF926929							
KF926930							
KF926931							
KF926932							
KF926933							
KF926934							
KF926935							
KF926936							
KF926937							
KF926938							
KF926939							
KF926940							
KF926941							
KF926959							
KJ024844							
KJ024845							
KJ024847							
KJ024849							
KJ024850							
KJ024851							
KJ024852							
KJ024854							
KJ024856							
KJ024857							
KJ024858							
KJ024859							
KJ024860							
KJ024861							
KJ024862							
KJ024863							
KJ024864							
KJ024865							
KJ024866							
KJ024867							
KJ024868							
KJ024869							
KJ024876							
KJ024888							
KJ024889							
KJ024931							
KJ024932							
KJ024933							
KJ024934							
KJ024936							
KJ024937							
KJ024938							
KJ024939							
KJ024940							
KJ024941							
KJ024942							
KJ024943							
KJ024944							
KJ024945							
KJ024946							
KJ024947							
KJ024948							
KJ024949							
KJ024950							
KJ024951							
KJ024952							
KJ024953							
KJ024954							
KJ024955							
KJ024956							
KJ024957							
KJ024958							
KJ024959							
KJ024960							
KJ024961							
KJ024962							
KJ024963							
KJ024964							
KJ024965							
KJ024966							
KJ470377							
KJ470378							
KJ470384							
KJ470386							
KJ470388							
KJ470389							
KJ470390							
KJ470391							
KJ470393							
KJ470396							
KJ470399							
KJ470400							
KJ470402							
KJ470403							
KJ470404							
KJ470405							
KJ470409							
KJ470412							
KJ470418							
KJ470420							
KJ470422							
KJ470424							
KJ470425							
KJ470427							
KJ470430							
KJ470432							
KJ470433							
KJ470434							
KJ470436							
KJ470437							
KJ470439							
KJ470440							
KJ470444							
KJ470445							
KJ470447							
KJ470448							
KJ470449							
KJ470452							
KJ470453							
KJ470454							
KJ470455							
KJ470458							
KJ470460							
KJ470461							
KJ470464							
KJ470465							
KJ470466							
KJ470467							
KJ470470							
KJ470472							
KJ470473							
KJ470474							
KJ470475							
KJ470477							
KJ470478							
KJ470479							
KJ470484							
KJ470486							
KJ470490							
KJ470491							
KJ470493							
KJ470495							
KJ470497							
KJ470498							
KJ470499							
KJ470501							
KJ470503							
KJ470504							
KJ470505							
KJ470507							
KJ470508							
KJ470513							
KJ470514							
KJ470515							
KJ470517							
KJ470518							
KJ470520							
KJ470521							
KJ470523							
KJ470527							
KJ470529							
KJ470533							
KJ470534							
KJ470536							
KJ470537							
KJ470539							
KJ470540							
KJ470541							
KJ470543							
KJ470546							
KJ470548							
KJ470552							
KJ470553							
KJ470554							
KJ470558							
KJ470563							
KJ470564							
KJ470565							
KJ470566							
KJ470567							
KJ470571							
KJ470572							
KJ470573							
KJ470580							
KJ470581							
KJ470582							
KJ470583							
KJ470584							
KJ470585							
KJ470588							
KJ470591							
KJ470592							
KJ470594							
KJ470596							
KJ470598							
KJ470600							
KJ470601							
KJ470604							
KJ470605							
KJ470606							
KJ470608							
KJ470609							
KJ470610							
KJ470611							
KJ470620			Baisha county,Hainan island				
KJ470621			Baisha county,Hainan island				
KJ470622			Baisha county,Hainan island				
KJ470623			Baisha county,Hainan island				
KJ470624			Baisha county,Hainan island				
KJ470625			Baisha county,Hainan island				
KJ567644							
KJ567645							
KJ567649							
KJ567650							
KJ567651							
KJ567652							
KJ678425							
KJ678426							
KJ678427							
KJ678428							
KJ678429							
KJ678430							
KJ678431							
KJ678432							
KJ678433							
KJ678434							
KJ678435							
KJ678436							
KJ678437							
KJ678438							
KJ678439							
KJ678440							
KJ678441							
KJ678442							
KJ678443							
KJ678444							
KJ678445							
KJ678446							
KJ678447							
KJ678448							
KJ678449							
KJ678450							
KJ678451							
KJ678452							
KJ678453							
KJ678454							
KJ678455							
KJ678456							
KJ678457							
KJ678458							
KJ678459							
KJ678460							
KJ678461							
KJ678462							
KJ678463							
KJ678464							
KJ678465							
KJ678466							
KJ678467							
KJ678468							
KJ678469							
KJ678470							
KJ678471							
KJ678472							
KJ678473							
KJ678474							
KJ678475							
KJ678476							
KJ678477							
KJ678478							
KJ678479							
KJ678480							
KJ678481							
KJ678482							
KJ678483							
KJ678484							
KJ678485							
KJ678486							
KJ678487							
KJ678488							
KJ678489							
KJ678490							
KJ678491							
KJ678492							
KJ678493							
KJ678494							
KJ678495							
KJ678496							
KJ678497							
KJ678498							
KJ678499							
KJ678500							
KJ678501							
KJ678502							
KJ678503							
KJ678504							
KJ678505							
KJ678506							
KJ678507							
KJ678508							
KJ678509							
KJ678510							
KJ678511							
KJ678512							
KJ678513							
KJ678514							
KJ678515							
KJ678516							
KJ678517							
KJ678518							
KJ678519							
KJ678520							
KJ678521							
KJ678522							
KJ678523							
KJ678524							
KJ678525							
KJ678526							
KJ678527							
KJ678528							
KJ678529							
KJ678530							
KJ678531							
KJ678532							
KJ678533							
KJ678534							
KJ678535							
KJ678536							
KJ678537							
KJ678538							
KJ678539							
KJ678540							
KJ678541							
KJ678542							
KJ678543							
KJ678544							
KJ678545							
KJ678546							
KJ678547							
KJ678548							
KJ678549							
KJ678550							
KJ678551							
KJ678552							
KJ678553							
KJ678554							
KJ678555							
KJ678556							
KJ678557							
KJ678558							
KJ678559							
KJ678560							
KJ678561							
KJ678562							
KJ678563							
KJ678564							
KJ678565							
KJ678566							
KJ678567							
KJ678568							
KJ678569							
KJ678570							
KJ678571							
KJ678572							
KJ678573							
KJ678574							
KJ678575							
KJ678576							
KJ678577							
KJ678578							
KJ678579							
KJ678580							
KJ678581							
KJ678582							
KJ678583							
KJ678584							
KJ678585							
KJ678586							
KJ678587							
KJ678588							
KJ678589							
KJ678590							
KJ678591							
KJ678592							
KJ678593							
KJ678594							
KJ678595							
KJ678596							
KJ678597							
KJ678598							
KJ678599							
KJ678600							
KJ678601							
KJ678602							
KJ678603							
KJ678604							
KJ678605							
KJ678606							
KJ678607							
KJ678608							
KJ678609							
KJ678610							
KJ678611							
KJ678612							
KJ678613							
KJ678614							
KJ678615							
KJ678616							
KJ678617							
KJ678618							
KJ678619							
KJ678620							
KJ678621							
KJ678622							
KJ678623							
KJ678624							
KJ678625							
KJ678626							
KJ678627							
KJ678628							
KJ678629							
KJ678630							
KJ678631							
KJ678632							
KJ678633							
KJ678634							
KJ678635							
KJ678636							
KJ678637							
KJ678638							
KJ678639							
KJ678640							
KJ678641							
KJ678642							
KJ678643							
KJ678644							
KJ678645							
KJ678646							
KJ678647							
KJ678648							
KJ678649							
KJ678650							
KJ678651							
KJ678652							
KJ678653							
KJ678654							
KJ678655							
KJ678656							
KJ678657							
KJ678658							
KJ678659							
KJ678660							
KJ678661							
KJ678662							
KJ678663							
KJ678664							
KJ678665							
KJ678666							
KJ678667							
KJ678668							
KJ678669							
KJ678670							
KJ678671							
KJ678672							
KJ678673							
KJ678674							
KJ678675							
KJ678676							
