sequenceID	genotype	subtype	gb_isolate	gb_country_short_missing	gb_place_sampled_missing	gb_collection_year_missing	gb_collection_month_missing	gb_lab_construct_missing	gb_host_missing	gb_pubmed_id_missing	alternative_reference_url	Email of author
AB523018												
AB523019												
AB523020												
AB523022												
AB523026												
AB523027												
AB523029												
AB523030												
AB523032												
AB523034												
AB523036												
AB523043												
AB523044												
AB523046												
AB523050												
AB523051												
AB523054												
AB523055												
AB523056												
AB523067												
AB523069												
AB523070												
AB523071												
AB523072												
AB523073												
AB523075												
AB523077												
AB523080												
AB523081												
AB523088												
AB523089												
AB523090												
AB523091												
AB523095												
AB523099												
AB523100												
AB523101												
AB523105												
AB523106												
AB523107												
AB523112												
AB523113												
AB523117												
AB523118												
AB523119												
AB523123												
AB523125												
AB523126												
AB523127												
AB523128												
AB523130												
AB523131												
AB523132												
AB523133												
AB523134												
AB523135												
AB523136												
AB523137												
AB523138												
AB523139												
AB523142												
AB523143												
AB523144												
AB523145												
AB523146												
AB523147												
AB523148												
AB523150												
AB523151												
AB523153												
AB523158												
AB523159												
AB523161												
AB523163												
AB523165												
AB989307												
AB989308												
AB989310												
AB989311												
AB989312												
AB989313												
AB989317												
AB989318												
AB989319												
AB989320												
AB989322												
AB989325												
AB989331												
AB989332												
AB989339												
AB989340												
AB989341												
AB989342												
AB989344												
AB989345												
AB989351												
AB989352												
AB989354												
AB989355												
AB989356												
AB989358												
AB989359												
AB989360												
AB989362												
AB989363												
AB989364												
AB989365												
AB989367												
AB989368												
AB989371												
AB989375												
AB989377												
AB989378												
AB989380												
AB989381												
AB989382												
AB989383												
AB989386												
AB989388												
AB989389												
AB989392												
AB989393												
AB989398												
AB989401												
AB989402												
AB989406												
AB989407												
AB989409												
AB989412												
AB989415												
AB989416												
AB989418												
AB989419												
AB989420												
AB989425												
AB989426												
AB989430												
AH004916				Vitenam								
AY231583				Eastern India 	Kolkata				Homo sapiens			
AY434111				Canada	Quebec				Homo sapiens			
AY545973												
AY545974												
AY545975												
AY545976												
AY545977												
AY545978												
AY545979												
AY545980												
AY732110					Guangxi	1999			Homo sapiens	15564470		
AY732189						1999			Homo sapiens	15564470		
AY732191						2000			Homo sapiens	15564470		
AY732192						2000			Homo sapiens	15564470		
AY732194						2002			Homo sapiens	15564470		
AY732195						2002			Homo sapiens	15564470		
AY732198						2002			Homo sapiens	15564470		
AY732206						2002			Homo sapiens	15564470		
AY859526			6a33						Homo sapiens			
AY878650						2002	JAN		Homo sapiens	add 15714489		
AY878651						2002	JAN		Homo sapiens	15714489		
AY878652						2002	JAN		Homo sapiens	15714489		
AY973865									chimp 			
AY973866									chimp 			
CS479734				Vietnam					Homo sapiens			
CS541268				Vietnam					Homo sapiens			
D30797				Vietnam								
D31971				Vietnam								
D37841				Thiland					Homo sapiens			
D37842												hokamoto@jichi.ac.jp
D37843				Thiland					Homo sapiens			
D37844				Thiland					Homo sapiens			
D37845				Thiland					Homo sapiens			
D37846				Thiland					Homo sapiens			
D37847												hokamoto@jichi.ac.jp
D37848				Thiland					Homo sapiens			
D37849				Thiland					Homo sapiens			
D37850				Thiland					Homo sapiens			
D37851												hokamoto@jichi.ac.jp
D37855				Thiland					Homo sapiens			
D37856												
D37857				Thiland					Homo sapiens			
D37858				Thiland					Homo sapiens			
D37859				Thiland					Homo sapiens			
D37860				Thiland					Homo sapiens			
D37861												hokamoto@jichi.ac.jp
D37862				Thiland					Homo sapiens			
D37863				Thiland					Homo sapiens			
D37864				Thiland					Homo sapiens			
D37865												hokamoto@jichi.ac.jp
D37866												hokamoto@jichi.ac.jp
D37867				Thiland					Homo sapiens			
D38078				Thiland					Homo sapiens			
D38079				Thiland					Homo sapiens			
D49748				Indonesia	Jakarta				Homo sapiens			
D49751				Indonesia	Jakarta				Homo sapiens			
D49758				Indonesia	Jakarta				Homo sapiens			
D49763				Indonesia	Jakarta				Homo sapiens			
D49766				Indonesia	Jakarta				Homo sapiens			
D49779				Indonesia	Jakarta				Homo sapiens			
D63822				Indonesia	Jakarta				Homo sapiens			
D63943				Thiland	Chiang Mai	1992			Homo sapiens 			
D63946				Thiland	Chiang Mai	1993			Homo sapiens 			
D84262				Thai					Homo sapiens 			
D84263				Vietnam 					Homo sapiens 			
D84264				Vietnam 					Homo sapiens 			
D84265				Vietnam 					Homo sapiens 			
D87352				Vietnam 					Homo sapiens 			
D87353				Vietnam 					Homo sapiens 			
D87354				Vietnam 					Homo sapiens 			
D87355				Vietnam 					Homo sapiens 			
D87356				Vietnam 					Homo sapiens 			
D87357				Vietnam 					Homo sapiens 			
D87358				Vietnam 					Homo sapiens 			
D87359				Vietnam 					Homo sapiens 			
D87360				Vietnam 					Homo sapiens 			
D87361				Vietnam 					Homo sapiens 			
D87362				Vietnam 					Homo sapiens 			
D87363				Vietnam 					Homo sapiens 			
D87364				Vietnam 					Homo sapiens 			
D87365				Vietnam 					Homo sapiens 			
D88465				Vietnam 					Homo sapiens 			
D88466				Vietnam 					Homo sapiens 			
D88467				Vietnam 					Homo sapiens 			
D88468				Vietnam 					Homo sapiens 			
D88469				Vietnam 					Homo sapiens 			
D88470				Vietnam 					Homo sapiens 			
D88471				Vietnam 					Homo sapiens 			
D88472				Vietnam 					Homo sapiens 			
D88473				Vietnam 					Homo sapiens 			
D88474				Vietnam 					Homo sapiens 			
D88475				Vietnam 					Homo sapiens 			
D88476				Vietnam 					Homo sapiens 			
D88477				Vietnam 					Homo sapiens 			
D88478				Vietnam 					Homo sapiens 			
DQ155445									Homo sapiens 			
DQ155450									Homo sapiens 			
DQ155451									Homo sapiens 			
DQ155452									Homo sapiens 			
DQ155453									Homo sapiens 			
DQ155457									Homo sapiens 			
DQ155461									Homo sapiens 			
DQ155463									Homo sapiens 			
DQ155465									Homo sapiens 			
DQ155467									Homo sapiens 			
DQ155468									Homo sapiens 			
DQ155469									Homo sapiens 			
DQ155472									Homo sapiens 			
DQ155474									Homo sapiens 			
DQ155475									Homo sapiens 			
DQ155479									Homo sapiens 			
DQ155483									Homo sapiens 			
DQ155484									Homo sapiens 			
DQ155487									Homo sapiens 			
DQ155490									Homo sapiens 			
DQ155491									Homo sapiens 			
DQ155493									Homo sapiens 			
DQ155494									Homo sapiens 			
DQ155496									Homo sapiens 			
DQ155499									Homo sapiens 			
DQ155501									Homo sapiens 			
DQ155560									Homo sapiens 			
DQ155566									Homo sapiens 			
DQ278891						2002	JAN		Homo sapiens 			
DQ278892						2002	JAN		Homo sapiens 			
DQ278893						2002	JAN		Homo sapiens 			
DQ278894						2002	JAN		Homo sapiens 			
DQ314805									Homo sapiens 	11070028		
DQ314806									Homo sapiens 	11070028		
DQ480512			strain 6a77			1998-2004			Homo sapiens 	add 21931867		
DQ480513			strain 6a35			1998-2004			Homo sapiens 	add 21931867		
DQ480514			strain 6a63			1998-2004			Homo sapiens 	add 21931867		
DQ480515			strain 6a64			1998-2004			Homo sapiens 	add 21931867		
DQ480516			strain 6a61			1998-2004			Homo sapiens 	add 21931867		
DQ480517			strain 6a73			1998-2004			Homo sapiens 	add 21931867		
DQ480518			strain 6a65			1998-2004			Homo sapiens 	add 21931867		
DQ480519			strain 6a66			1998-2004			Homo sapiens 	add 21931867		
DQ480520			strain 6a67			1998-2004			Homo sapiens 	add 21931867		
DQ480521			strain 6a69			1998-2004			Homo sapiens 	add 21931867		
DQ480522			strain 6a72			1998-2004			Homo sapiens 	add 21931867		
DQ480523			strain 6a62			1998-2004			Homo sapiens 	add 21931867		
DQ480524			strain 6a74			1998-2004			Homo sapiens 	add 21931867		
DQ525424			strain 6a19						Homo sapiens 			
DQ525425			strain 6a27						Homo sapiens 			
DQ525426			strain 6a36						Homo sapiens 			
DQ525427			strain 6a47						Homo sapiens 			
DQ525428			strain 6a02						Homo sapiens 			
DQ525429			strain 6a26						Homo sapiens 			
DQ525430			strain 6a30						Homo sapiens 			
DQ525431			strain 6a34						Homo sapiens 			
DQ525432			strain 6a40						Homo sapiens 			
DQ525433			strain 6a41						Homo sapiens 			
DQ525434			strain 6a45						Homo sapiens 			
DQ640338			strain Th22			2000-2002			Homo sapiens 			
DQ640339			strain Th23			2000-2002			Homo sapiens 			
DQ640340			strain Th25			2000-2002			Homo sapiens 			
DQ640341			strain Th26			2000-2002			Homo sapiens 			
DQ640342			strain Th27			2000-2002			Homo sapiens 			
DQ640343			strain Th28			2000-2002			Homo sapiens 			
DQ640344			strain Th31			2000-2002			Homo sapiens 			
DQ640345			strain Th32			2000-2002			Homo sapiens 			
DQ640346			strain Th33			2000-2002			Homo sapiens 			
DQ640360			strain Th52			2000-2002			Homo sapiens 			
DQ640361			strain Th40			2000-2002			Homo sapiens 			
DQ777779							Aug		Homo sapiens 			
DQ777780							Aug		Homo sapiens 			
DQ777797							Dec		Homo sapiens 			
DQ777798							Apr		Homo sapiens 			
DQ777799							Feb		Homo sapiens 			
DQ835760									Homo sapiens 			
DQ835761									Homo sapiens 			
DQ835762									Homo sapiens 			
DQ835763									Homo sapiens 			
DQ835764									Homo sapiens 			
DQ835765									Homo sapiens 			
DQ835766									Homo sapiens 			
DQ835767									Homo sapiens 			
DQ835768									Homo sapiens 			
DQ835769									Homo sapiens 			
DQ835770									Homo sapiens 			
DQ859953			strain HCV64	China					Homo sapiens 			
DQ859971			strain HCV64	China					Homo sapiens 			
EF420130			strain  D88						Homo sapiens 			
EF420131			D88 deletion mutant						Homo sapiens 			
EF420132			D33						Homo sapiens 			
EF420133			D33-deletion-mutant						Homo sapiens 			
EF420134			D54-deletion-mutant						Homo sapiens 			
EF424625									Homo sapiens 			
EF424626									Homo sapiens 			
EF424627									Homo sapiens 			
EF424628									Homo sapiens 			
EF424629									Homo sapiens 			
EF523601												
EF632069									Homo sapiens			
EF632070									Homo sapiens			
EF632071									Homo sapiens			
EU081306							Apr		Homo sapiens			
EU081307							Apr		Homo sapiens			
EU081308							Apr		Homo sapiens			
EU081309							Apr		Homo sapiens			
EU081310							Dec		Homo sapiens			
EU081311							Apr		Homo sapiens			
EU081322							Apr		Homo sapiens			
EU081323							Dec		Homo sapiens			
EU081324							Apr		Homo sapiens			
EU081325							Apr		Homo sapiens			
EU081326							Apr		Homo sapiens			
EU081329							Aug		Homo sapiens			
EU081330							Aug		Homo sapiens			
EU081331							Aug		Homo sapiens			
EU081332							Aug		Homo sapiens			
EU081333							Aug		Homo sapiens			
EU081334							Aug		Homo sapiens			
EU081335							Aug		Homo sapiens			
EU081336							Nov		Homo sapiens			
EU081337							Aug		Homo sapiens			
EU081338							Oct		Homo sapiens			
EU081339							Oct		Homo sapiens			
EU081340							Aug		Homo sapiens			
EU081341							Dec		Homo sapiens			
EU081342							Sep		Homo sapiens			
EU081343							Apr		Homo sapiens			
EU081344							Mar		Homo sapiens			
EU081345							Mar		Homo sapiens			
EU081346							Mar		Homo sapiens			
EU081347							Apr		Homo sapiens			
EU081348							Apr		Homo sapiens			
EU081349							Apr		Homo sapiens			
EU081350							Mar		Homo sapiens			
EU081351							Jul		Homo sapiens			
EU081352							Apr		Homo sapiens			
EU081353							Aug		Homo sapiens			
EU081354							Apr		Homo sapiens			
EU081355							Apr		Homo sapiens			
EU081356							Apr		Homo sapiens			
EU081357							Apr		Homo sapiens			
EU081358							Mar		Homo sapiens			
EU081359							Sep		Homo sapiens			
EU081376							Sep		Homo sapiens			
EU081386							Aug		Homo sapiens			
EU081392							Aug		Homo sapiens			
EU081396							Aug		Homo sapiens			
EU081398							Aug		Homo sapiens			
EU081399							Aug		Homo sapiens			
EU081406							Aug		Homo sapiens			
EU081422							Nov		Homo sapiens			
EU081426							Oct		Homo sapiens			
EU081427							Apr		Homo sapiens			
EU081428							Apr		Homo sapiens			
EU081431							May		Homo sapiens			
EU081433							Sep		Homo sapiens			
EU081435							Jul		Homo sapiens			
EU081438							May		Homo sapiens			
EU081439							May		Homo sapiens			
EU081443							Sep		Homo sapiens			
EU081453							Aug		Homo sapiens			
EU081463							Aug		Homo sapiens			
EU081465							Aug		Homo sapiens			
EU081466							Aug		Homo sapiens			
EU081473							Aug		Homo sapiens			
EU081489							Nov		Homo sapiens			
EU081493							Oct		Homo sapiens			
EU081494							Apr		Homo sapiens			
EU081495							Apr		Homo sapiens			
EU081498							May		Homo sapiens			
EU081500							Sep		Homo sapiens			
EU081502							Jul		Homo sapiens			
EU081505							May		Homo sapiens			
EU081506							May		Homo sapiens			
EU119968							Oct		Homo sapiens			
EU119969							Oct		Homo sapiens			
EU119970							Oct		Homo sapiens			
EU119971							Aug		Homo sapiens			
EU119972							Dec		Homo sapiens			
EU119973							Sep		Homo sapiens			
EU119974							Apr		Homo sapiens			
EU119975							May		Homo sapiens			
EU119976							Sep		Homo sapiens			
EU119977							Mar		Homo sapiens			
EU119978							Jul		Homo sapiens			
EU119979							Mar		Homo sapiens			
EU119980							Aug		Homo sapiens			
EU119981							Aug		Homo sapiens			
EU119982							Aug		Homo sapiens			
EU119983							Nov		Homo sapiens			
EU158186							Aug		Homo sapiens	no reference		
EU246930			strain D9						Homo sapiens			
EU246931			strain D42						Homo sapiens			
EU246932			strain D88						Homo sapiens			
EU246933			strain D33						Homo sapiens			
EU246934			strain D85						Homo sapiens			
EU246935			strain TH24						Homo sapiens			
EU246936			strain TH52						Homo sapiens			
EU246937			strain TH22						Homo sapiens			
EU246938			strain TH31						Homo sapiens			
EU246939			strain D49						Homo sapiens			
EU246940			strain D83						Homo sapiens			
EU408326									Homo sapiens			
EU408327									Homo sapiens			
EU408328									Homo sapiens			
EU408329									Homo sapiens			
EU408330					Yunnan 				Homo sapiens			
EU408331					Yunnan 				Homo sapiens			
EU408332					Yunnan 				Homo sapiens			
EU643834						2004-2005			Homo sapiens			
EU643835					Taiwan	2004-2005			Homo sapiens			
EU643836					Taiwan	2004-2005			Homo sapiens			
EU798760					Kuiming				Homo sapiens			
EU798761					Kuiming				Homo sapiens			
FJ435090									Homo sapiens			
FJ462949							Jun					
FJ462960							Jun					
FJ462962							Jun					
FJ462963							Jun					
FJ462965							Jun					
FJ462966							Jun					
FJ462974							Jun					
FJ462984							Jun					
FJ462986							Jun					
FJ462989							Jun					
FJ462990							Jun					
FJ462991							Jun					
FJ462992							Jun					
FJ462994							Jun					
FJ463002							Jun					
FJ463005							Jun					
FJ463006							Jun					
FJ463009							Jun					
FJ463013							Jun					
FJ463014							Jun					
FJ463015							Jun					
FJ463028							Jun					
FJ463029							Jun					
FJ463030							Jun					
FJ469163					Hongkong							
FJ469164					Hongkong							
FJ469165					Hongkong							
FJ469166					Hongkong							
FJ469167					Hongkong							
FJ469168					Hongkong							
FJ469169					Hongkong							
FJ469170					Hongkong							
FJ469171					Hongkong							
FJ469172					Hongkong							
FJ469173					Hongkong							
FJ469174					Hongkong							
FJ469175					Hongkong							
FJ469176					Hongkong							
FJ469177					Hongkong							
FJ469178					Hongkong							
FJ469179					Hongkong							
FJ469180					Hongkong							
FJ469181					Hongkong							
FJ469182					Hongkong							
FJ469183					Hongkong							
FJ469184					Hongkong							
FJ469185					Hongkong							
FJ469186					Hongkong							
FJ469187					Hongkong							
FJ469188					Hongkong							
FJ469189					Hongkong							
FJ469190					Hongkong							
FJ469191					Hongkong							
FJ469192					Hongkong							
FJ469193					Hongkong							
FJ469194					Hongkong							
FJ469195					Hongkong							
FJ469196					Hongkong							
FJ469197					Hongkong							
FJ469198					Hongkong							
FJ469199					Hongkong							
FJ469200					Hongkong							
FJ469201					Hongkong							
FJ469202					Hongkong							
FJ469203					Hongkong							
FJ469204					Hongkong							
FJ469205					Hongkong							
FJ469206					Hongkong							
FJ469207					Hongkong							
FJ469208					Hongkong							
FJ469209					Hongkong							
FJ469210					Hongkong							
FJ469211					Hongkong							
FJ469212					Hongkong							
FJ469213					Hongkong							
FJ469214					Hongkong							
FJ469215					Hongkong							
FJ469216					Hongkong							
FJ469217					Hongkong							
FJ469218					Hongkong							
FJ469219					Hongkong							
FJ469220					Hongkong							
FJ469221					Hongkong							
FJ469222					Hongkong							
FJ469223					Hongkong							
FJ469224					Hongkong							
FJ469225					Hongkong							
FJ469226					Hongkong							
FJ469227					Hongkong							
FJ469228					Hongkong							
FJ469229					Hongkong							
FJ469230					Hongkong							
FJ469231					Hongkong							
FJ469232					Hongkong							
FJ469233					Hongkong							
FJ469234					Hongkong							
FJ469235					Hongkong							
FJ469236					Hongkong							
FJ469237					Hongkong							
FJ469238					Hongkong							
FJ469239					Hongkong							
FJ469240					Hongkong							
FJ469241					Hongkong							
FJ469242					Hongkong							
FJ469243					Hongkong							
FJ469244					Hongkong							
FJ469245					Hongkong							
FJ469246					Hongkong							
FJ469247					Hongkong							
FJ469248					Hongkong							
FJ469249					Hongkong							
FJ469250					Hongkong							
FJ469251					Hongkong							
FJ469252					Hongkong							
FJ469253					Hongkong							
FJ469254					Hongkong							
FJ469255					Hongkong							
FJ469256					Hongkong							
FJ469257					Hongkong							
FJ469258					Hongkong							
FJ469259					Hongkong							
FJ469260					Hongkong							
FJ469261					Hongkong							
FJ469262					Hongkong							
FJ469263					Hongkong							
FJ469264					Hongkong							
FJ469265					Hongkong							
FJ469266					Hongkong							
FJ469267					Hongkong							
FJ469268					Hongkong							
FJ469269					Hongkong							
FJ469270					Hongkong							
FJ469271					Hongkong							
FJ469272					Hongkong							
FJ469273					Hongkong							
FJ469274					Hongkong							
FJ469275					Hongkong							
FJ515008												
FJ515016												
FJ515017												
FJ515021												
FJ515029												
FJ515040												
FJ515042												
FJ515043												
FJ515046												
FJ515047												
FJ515057												
FJ515064												
FJ515070												
FJ515071												
FJ515078												
FJ515089												
FJ515090												
FJ515092												
FJ515107												
FJ515111												
FJ515113												
FJ515114												
FJ515127												
FJ515129												
FJ515130												
FJ515139												
FJ515144												
FJ515146												
FJ515147												
FJ515148												
FJ515149												
FJ515153												
FJ515157												
FJ859264			CUTH5									
FJ859265			CUTH12									
FJ859266			CUTH14									
FJ859267			CUTH15									
FJ859268			CUTH16									
FJ859269			CUTH17									
FJ859270			CUTH19									
FJ859271			CUTH21									
FJ859272			CUTH23									
FJ859273			CUTH29									
FJ859274			CUTH33									
FJ859275			CUTH35									
FJ859276			CUTH37									
FJ859277			CUTH39									
FJ859278			CUTH42									
FJ859279			CUTH61									
FJ859280			CUTH67									
FJ859281			CUTH70									
FJ859282			CUTH73									
FJ859284			CUTH79									
FJ859285			CUTH82									
FJ859286			CUTH92									
FJ859287			CUTH93									
FJ859288			CUTH95									
FJ859289			CUTH96									
FJ859290			CUTH97									
FJ859292			CUTH138									
FJ859293			CUTH169									
FJ859294			CUTH176									
FJ859295			CUTH206									
FJ859296			CUTH212									
FJ859297			CUTH218									
FJ859298			CUTH227									
FJ859299			CUTH242									
FJ859300			CUTH244									
FJ859303			CUTH249									
FJ859304			CUTH246									
FJ859305			CUTH250									
FJ859306			CUTH260									
FJ859307			CUTH261									
FJ859308			CUTH282									
FJ859309			CUTH286									
FJ859310			CUTH292									
FJ859311			CUTH293									
FJ859312			CUTH296									
FJ859313			CUTH307									
FJ859314			CUTH310									
FJ859315			CUTH313									
FJ859316			CUTH317									
FJ859319			CUTH333									
FJ859323			CUTH344									
FJ859324			CUTH353									
FJ859325			CUTH355									
FJ859326			CUTH359									
FJ859327			CUTH365									
FJ859328			CUTH373									
FJ859329			CUTH375									
FJ859330			CUTH385									
FJ859331			CUTH386									
FJ859332			CUTH400									
FJ859333			CUTH419									
FJ859334			CUTH426									
GQ205856												
GQ205857												
GQ205858												
GQ205859												
GQ205860												
GQ205861												
GQ205862												
GQ205863												
GQ205864												
GQ205865												
GQ205866												
GQ205867												
GQ205868												
GQ205869												
GQ205870												
GQ205871												
GQ205872												
GQ205873												
GQ205874												
GQ205875												
GQ205876												
GQ205877												
GQ205878												
GQ205879												
GQ205880												
GQ205881												
GQ205882												
GQ205883												
GQ205884												
GQ205885												
GQ205886												
GQ205887												
GQ205888												
GQ205889												
GQ205890												
GQ205891												
GQ205892												
GQ205893												
GQ205894												
GQ205895												
GQ205896												
GQ205897												
GQ205898												
GQ205899												
GQ205900												
GQ205901												
GQ205902												
GQ205903												
GQ205904												
GQ205905												
GQ205906												
GQ205907												
GQ205908												
GQ205909												
GQ205910												
GQ205911												
GQ205912												
GQ205913												
GQ205914												
GQ205915												
GQ205916												
GQ205917												
GQ205918												
GQ205919												
GQ205920												
GQ205921												
GQ205922												
GQ205923												
GQ205924												
GQ205925												
