SourceName,PrimAcc,GENOTYPE,SUBTYPE
ncbi-refseqs,FJ025855,4,w
ncbi-refseqs,FJ025856,4,w
ncbi-refseqs,AF064490,5,a
ncbi-refseqs,Y13184,5,a
ncbi-refseqs,Y12083,6,a
ncbi-refseqs,AY859526,6,a
ncbi-refseqs,HQ639936,6,a
ncbi-refseqs,EU246930,6,a
ncbi-refseqs,D84262,6,b
ncbi-refseqs,EF424629,6,c
ncbi-refseqs,D84263,6,d
ncbi-refseqs,DQ314805,6,e
ncbi-refseqs,EU246932,6,e
ncbi-refseqs,EU246931,6,e
ncbi-refseqs,DQ835760,6,f
ncbi-refseqs,EU246936,6,f
ncbi-refseqs,D63822,6,g
ncbi-refseqs,DQ314806,6,g
ncbi-refseqs,D84265,6,h
ncbi-refseqs,DQ835770,6,i
ncbi-refseqs,DQ835762,6,i
ncbi-refseqs,DQ835769,6,j
ncbi-refseqs,DQ835761,6,j
ncbi-refseqs,D84264,6,k
ncbi-refseqs,EF424628,6,l
ncbi-refseqs,JX183556,6,l
ncbi-refseqs,DQ835767,6,m
ncbi-refseqs,DQ835766,6,m
ncbi-refseqs,DQ278894,6,n
ncbi-refseqs,DQ835768,6,n
ncbi-refseqs,EU246938,6,n
ncbi-refseqs,EF424627,6,o
ncbi-refseqs,EU246934,6,o
ncbi-refseqs,EF424626,6,p
ncbi-refseqs,EF424625,6,q
ncbi-refseqs,EU408328,6,r
ncbi-refseqs,EU408329,6,s
ncbi-refseqs,EF632071,6,t
ncbi-refseqs,EU246939,6,t
ncbi-refseqs,EU246940,6,u
ncbi-refseqs,EU158186,6,v
ncbi-refseqs,EU798760,6,v
ncbi-refseqs,EU798761,6,v
ncbi-refseqs,DQ278892,6,w
ncbi-refseqs,EU643834,6,w
ncbi-refseqs,EU643836,6,w
ncbi-refseqs,EU408330,6,xa
ncbi-refseqs,EU408332,6,xa
ncbi-refseqs,EU408331,6,xa
ncbi-refseqs,JX183552,6,xb
ncbi-refseqs,KJ567645,6,xb
ncbi-refseqs,KJ567651,6,xc
ncbi-refseqs,KM252789,6,xd
ncbi-refseqs,KM252790,6,xd
ncbi-refseqs,KM252791,6,xd
ncbi-refseqs,JX183557,6,xe
ncbi-refseqs,KM252792,6,xe
ncbi-refseqs,EF108306,7,a
